natCu(d,x)62Zn					
					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
0.0	0.0	0.00	4.42E-04	1.19E-05	4.26E-04
5.0	0.0	0.00	4.42E-04	1.19E-05	4.26E-04
10.0	0.0	0.00	4.42E-04	1.19E-05	4.26E-04
15.0	0.0	0.00	4.42E-04	1.19E-05	4.26E-04
17.0	0.03	0.0012	4.42E-04	1.19E-05	4.26E-04
17.1	0.03	0.0012	8.66E-04	2.34E-05	8.34E-04
17.2	0.03	0.0011	1.28E-03	3.46E-05	1.23E-03
17.3	0.03	0.0011	1.70E-03	4.58E-05	1.63E-03
17.4	0.03	0.0012	2.13E-03	5.77E-05	2.06E-03
17.5	0.03	0.013	2.62E-03	7.09E-05	2.53E-03
17.6	0.04	0.015	3.20E-03	8.65E-05	3.08E-03
17.7	0.05	0.019	3.90E-03	1.05E-04	3.76E-03
17.8	0.06	0.024	4.78E-03	1.29E-04	4.61E-03
17.9	0.07	0.030	5.90E-03	1.59E-04	5.68E-03
18.0	0.09	0.037	7.32E-03	1.98E-04	7.05E-03
18.1	0.12	0.047	9.11E-03	2.46E-04	8.77E-03
18.2	0.15	0.059	1.13E-02	3.07E-04	1.09E-02
18.3	0.18	0.073	1.41E-02	3.82E-04	1.36E-02
18.4	0.22	0.089	1.76E-02	4.74E-04	1.69E-02
18.5	0.27	0.060	2.17E-02	5.87E-04	2.09E-02
18.6	0.32	0.072	2.67E-02	7.23E-04	2.58E-02
18.7	0.38	0.086	3.27E-02	8.85E-04	3.15E-02
18.8	0.45	0.10	3.98E-02	1.08E-03	3.84E-02
18.9	0.53	0.12	4.82E-02	1.30E-03	4.64E-02
19.0	0.62	0.14	5.79E-02	1.56E-03	5.57E-02
19.1	0.71	0.16	6.91E-02	1.87E-03	6.66E-02
19.2	0.81	0.18	8.21E-02	2.22E-03	7.90E-02
19.3	0.93	0.21	9.68E-02	2.62E-03	9.33E-02
19.4	1.04	0.23	1.14E-01	3.07E-03	1.09E-01
19.5	1.17	0.20	1.32E-01	3.58E-03	1.27E-01
19.6	1.30	0.23	1.53E-01	4.15E-03	1.48E-01
19.7	1.44	0.25	1.77E-01	4.78E-03	1.70E-01
19.8	1.59	0.28	2.03E-01	5.48E-03	1.95E-01
19.9	1.74	0.30	2.31E-01	6.25E-03	2.23E-01
20.0	1.90	0.33	2.62E-01	7.09E-03	2.53E-01
20.1	2.06	0.36	2.96E-01	8.00E-03	2.85E-01
20.2	2.23	0.39	3.33E-01	8.99E-03	3.21E-01
20.3	2.40	0.42	3.72E-01	1.01E-02	3.59E-01
20.4	2.58	0.45	4.15E-01	1.12E-02	4.00E-01
20.5	2.76	0.31	4.61E-01	1.25E-02	4.44E-01
20.6	2.95	0.33	5.11E-01	1.38E-02	4.92E-01
20.7	3.14	0.36	5.63E-01	1.52E-02	5.43E-01
20.8	3.34	0.38	6.19E-01	1.67E-02	5.97E-01
20.9	3.54	0.40	6.79E-01	1.84E-02	6.54E-01
21.0	3.75	0.43	7.43E-01	2.01E-02	7.16E-01
21.1	3.97	0.45	8.10E-01	2.19E-02	7.81E-01
21.2	4.19	0.47	8.82E-01	2.38E-02	8.49E-01
21.3	4.41	0.50	9.57E-01	2.59E-02	9.22E-01
21.4	4.64	0.53	1.04E+00	2.80E-02	9.99E-01
21.5	4.88	0.47	1.12E+00	3.03E-02	1.08E+00
21.6	5.12	0.50	1.21E+00	3.27E-02	1.17E+00
21.7	5.37	0.52	1.30E+00	3.52E-02	1.26E+00
21.8	5.62	0.55	1.40E+00	3.79E-02	1.35E+00
21.9	5.87	0.57	1.50E+00	4.06E-02	1.45E+00
22.0	6.13	0.58	1.61E+00	4.36E-02	1.55E+00
22.1	6.39	0.61	1.72E+00	4.66E-02	1.66E+00
22.2	6.66	0.63	1.84E+00	4.98E-02	1.77E+00
22.3	6.93	0.66	1.96E+00	5.31E-02	1.89E+00
22.4	7.21	0.68	2.09E+00	5.66E-02	2.02E+00
22.5	7.49	0.71	2.23E+00	6.02E-02	2.14E+00
22.6	7.77	0.74	2.37E+00	6.39E-02	2.28E+00
22.7	8.06	0.76	2.51E+00	6.78E-02	2.42E+00
22.8	8.35	0.79	2.66E+00	7.19E-02	2.56E+00
22.9	8.65	0.82	2.82E+00	7.61E-02	2.71E+00
23.0	8.95	0.85	2.98E+00	8.05E-02	2.87E+00
23.1	9.26	0.88	3.15E+00	8.51E-02	3.03E+00
23.2	9.57	0.91	3.32E+00	8.98E-02	3.20E+00
23.3	9.88	0.94	3.50E+00	9.47E-02	3.37E+00
23.4	10.20	0.97	3.69E+00	9.98E-02	3.56E+00
23.5	10.52	1.00	3.88E+00	1.05E-01	3.74E+00
23.6	10.85	1.03	4.09E+00	1.10E-01	3.94E+00
23.7	11.18	1.06	4.29E+00	1.16E-01	4.14E+00
23.8	11.52	1.09	4.51E+00	1.22E-01	4.34E+00
23.9	11.86	1.12	4.73E+00	1.28E-01	4.55E+00
24.0	12.20	1.06	4.96E+00	1.34E-01	4.77E+00
24.1	12.55	1.09	5.19E+00	1.40E-01	5.00E+00
24.2	12.90	1.12	5.44E+00	1.47E-01	5.24E+00
24.3	13.25	1.16	5.69E+00	1.54E-01	5.48E+00
24.4	13.61	1.19	5.94E+00	1.61E-01	5.72E+00
24.5	13.97	1.22	6.21E+00	1.68E-01	5.98E+00
24.6	14.33	1.25	6.48E+00	1.75E-01	6.24E+00
24.7	14.69	1.28	6.76E+00	1.83E-01	6.51E+00
24.8	15.06	1.31	7.05E+00	1.91E-01	6.79E+00
24.9	15.43	1.35	7.35E+00	1.99E-01	7.08E+00
25.0	15.80	1.38	7.65E+00	2.07E-01	7.37E+00
25.1	16.18	1.41	7.97E+00	2.15E-01	7.67E+00
25.2	16.55	1.44	8.29E+00	2.24E-01	7.98E+00
25.3	16.93	1.48	8.62E+00	2.33E-01	8.30E+00
25.4	17.31	1.51	8.96E+00	2.42E-01	8.63E+00
25.5	17.69	1.54	9.30E+00	2.51E-01	8.96E+00
25.6	18.07	1.58	9.66E+00	2.61E-01	9.30E+00
25.7	18.45	1.61	1.00E+01	2.71E-01	9.65E+00
25.8	18.83	1.64	1.04E+01	2.81E-01	1.00E+01
25.9	19.21	1.68	1.08E+01	2.91E-01	1.04E+01
26.0	19.59	1.48	1.12E+01	3.02E-01	1.08E+01
26.1	19.97	1.51	1.16E+01	3.12E-01	1.11E+01
26.2	20.34	1.54	1.20E+01	3.23E-01	1.15E+01
26.3	20.72	1.57	1.24E+01	3.35E-01	1.19E+01
26.4	21.09	1.60	1.28E+01	3.46E-01	1.23E+01
26.5	21.47	1.63	1.32E+01	3.58E-01	1.28E+01
26.6	21.84	1.65	1.37E+01	3.70E-01	1.32E+01
26.7	22.21	1.68	1.41E+01	3.82E-01	1.36E+01
26.8	22.58	1.71	1.46E+01	3.94E-01	1.41E+01
26.9	22.95	1.74	1.51E+01	4.07E-01	1.45E+01
27.0	23.32	1.77	1.55E+01	4.20E-01	1.50E+01
27.1	23.69	1.79	1.60E+01	4.33E-01	1.54E+01
27.2	24.05	1.82	1.65E+01	4.46E-01	1.59E+01
27.3	24.42	1.85	1.70E+01	4.60E-01	1.64E+01
27.4	24.78	1.88	1.75E+01	4.74E-01	1.69E+01
27.5	25.14	1.90	1.81E+01	4.88E-01	1.74E+01
27.6	25.50	1.93	1.86E+01	5.02E-01	1.79E+01
27.7	25.85	1.96	1.91E+01	5.17E-01	1.84E+01
27.8	26.20	1.98	1.97E+01	5.32E-01	1.89E+01
27.9	26.54	2.01	2.02E+01	5.47E-01	1.95E+01
28.0	26.88	1.91	2.08E+01	5.62E-01	2.00E+01
28.1	27.21	1.93	2.14E+01	5.77E-01	2.06E+01
28.2	27.53	1.95	2.19E+01	5.93E-01	2.11E+01
28.3	27.85	1.98	2.25E+01	6.09E-01	2.17E+01
28.4	28.17	2.00	2.31E+01	6.25E-01	2.23E+01
28.5	28.47	2.02	2.37E+01	6.42E-01	2.29E+01
28.6	28.77	2.04	2.44E+01	6.58E-01	2.35E+01
28.7	29.07	2.06	2.50E+01	6.75E-01	2.41E+01
28.8	29.36	2.08	2.56E+01	6.92E-01	2.47E+01
28.9	29.64	2.10	2.62E+01	7.09E-01	2.53E+01
29.0	29.91	2.12	2.69E+01	7.27E-01	2.59E+01
29.1	30.18	2.14	2.75E+01	7.44E-01	2.65E+01
29.2	30.45	2.16	2.82E+01	7.62E-01	2.72E+01
29.3	30.70	2.18	2.89E+01	7.80E-01	2.78E+01
29.4	30.95	2.20	2.95E+01	7.98E-01	2.84E+01
29.5	31.19	2.21	3.02E+01	8.16E-01	2.91E+01
29.6	31.42	2.23	3.09E+01	8.35E-01	2.97E+01
29.7	31.65	2.25	3.16E+01	8.53E-01	3.04E+01
29.8	31.87	2.26	3.23E+01	8.72E-01	3.11E+01
29.9	32.08	2.28	3.30E+01	8.91E-01	3.17E+01
30.0	32.28	2.29	3.37E+01	9.10E-01	3.24E+01
30.1	32.47	2.30	3.44E+01	9.29E-01	3.31E+01
30.2	32.65	2.32	3.51E+01	9.48E-01	3.38E+01
30.3	32.82	2.33	3.58E+01	9.68E-01	3.45E+01
30.4	32.99	2.34	3.65E+01	9.87E-01	3.52E+01
30.5	33.14	2.35	3.73E+01	1.01E+00	3.59E+01
30.6	33.29	2.36	3.80E+01	1.03E+00	3.66E+01
30.7	33.43	2.37	3.87E+01	1.05E+00	3.73E+01
30.8	33.56	2.38	3.95E+01	1.07E+00	3.80E+01
30.9	33.68	2.39	4.02E+01	1.09E+00	3.87E+01
31.0	33.79	2.40	4.10E+01	1.11E+00	3.95E+01
31.1	33.90	2.41	4.17E+01	1.13E+00	4.02E+01
31.2	34.00	2.41	4.25E+01	1.15E+00	4.09E+01
31.3	34.08	2.42	4.32E+01	1.17E+00	4.16E+01
31.4	34.17	2.42	4.40E+01	1.19E+00	4.24E+01
31.5	34.24	2.43	4.48E+01	1.21E+00	4.31E+01
31.6	34.31	2.43	4.55E+01	1.23E+00	4.39E+01
31.7	34.37	2.44	4.63E+01	1.25E+00	4.46E+01
31.8	34.42	2.44	4.71E+01	1.27E+00	4.54E+01
31.9	34.47	2.45	4.79E+01	1.29E+00	4.61E+01
32.0	34.50	2.45	4.87E+01	1.31E+00	4.69E+01
32.1	34.54	2.45	4.94E+01	1.34E+00	4.76E+01
32.2	34.56	2.45	5.02E+01	1.36E+00	4.84E+01
32.3	34.58	2.45	5.10E+01	1.38E+00	4.91E+01
32.4	34.60	2.45	5.18E+01	1.40E+00	4.99E+01
