#59.267,2232.2,51.432,8.7288e+06,2.0107e+05,3914
#59.267,3863.4,1845.6,1.5111e+07,7.2185e+06,3914
#43.133,2272.8,83.151,5.7522e+06,2.1039e+05,2533
2.8,2635.6,395.95,6.584e+05,98774,250
#186.5,2168.4,60.631,1.1375e+08,3.1805e+06,52639
#36,2321.8,56.266,4.2895e+06,1.0385e+05,1849
#36,1817.7,1064.9,3.359e+06,1.9677e+06,1849
#424.2,1931.1,30.995,2.0441e+08,3.2808e+06,1.0651e+05
#424.2,2220.9,362.21,2.3513e+08,3.8349e+07,1.0651e+05
#424.2,1923.4,496.67,2.0365e+08,5.2586e+07,1.0651e+05
#79.2,2196.7,45.914,2.0473e+07,4.2788e+05,9331
#88.5,2212.1,29.415,2.5002e+08,3.3246e+06,1.1377e+05
#88.5,2709.1,649.29,3.0625e+08,7.3401e+07,1.1377e+05
#88.5,2031.4,989.73,2.2966e+08,1.1189e+08,1.1377e+05
