-5.9005e+07,NaN,NaN
0.36667,1.5124e+05,22138
-5.9005e+07,NaN,NaN
5.25,1.0346e+05,14523
-5.9005e+07,NaN,NaN
10.4,4.6251e+05,63984
-5.9005e+07,NaN,NaN
14.933,3.6076e+05,49907
-5.9005e+07,NaN,NaN
19.25,2.898e+05,40194
-5.9005e+07,NaN,NaN
23.433,2.3064e+05,32674
-5.9005e+07,NaN,NaN
27.483,2.4444e+05,34168
-5.9005e+07,NaN,NaN
60.55,27804,4183
-5.9005e+07,NaN,NaN
66.2,15569,2294.6
-5.9005e+07,NaN,NaN
88.5,2.6833e+05,37888
-5.9005e+07,NaN,NaN
186.5,29803,4294.3
-5.9005e+07,NaN,NaN
83.15,17832,2654.7
-5.9005e+07,NaN,NaN
224.88,12106,1831.2
