10.4,10268,3328.5,8.4651e+07,2.7441e+07,9000
13.817,9954.3,1836,8.2068e+07,1.5135e+07,9000
17.117,7520.6,1619.5,6.2004e+07,1.3351e+07,9000
20.317,6826.6,2550.6,5.6282e+07,2.1027e+07,9000
23.433,6316.2,1415.4,5.2074e+07,1.1668e+07,9000
26.483,5865.5,1371.5,4.8358e+07,1.1307e+07,9000
29.483,5562.4,1333.2,3.9896e+07,9.5617e+06,7800
88.5,3005.1,346.57,2.2209e+08,2.5605e+07,1.0881e+05
60.567,2688.4,1394.8,8.8111e+06,4.5712e+06,3516
83.15,2420,790.1,1.6891e+07,5.5143e+06,7585
256.78,4590.7,244.56,5.0704e+08,2.6969e+07,2.1632e+05
256.78,726.15,182.67,8.4355e+07,2.122e+07,2.1632e+05
