0.18333,29920,754.57,6.2871e+06,1.473e+05,213
0.18333,30753,845.25,6.4807e+06,1.6755e+05,213
5.8,9119.5,266.31,1.4208e+07,4.1457e+05,1651
5.8,7994.4,262.66,1.2491e+07,4.1013e+05,1651
10.5,4690.9,125.57,3.2084e+07,8.5871e+05,9000
10.5,3121.1,100.13,2.1408e+07,6.8674e+05,9000
#13.25,3450.1,112.3,2.3597e+07,7.6802e+05,9000
#13.25,1784,73.083,1.2237e+07,5.0126e+05,9000
#15.983,2664.9,100.83,1.8227e+07,6.8958e+05,9000
#15.983,1049.7,53.207,7.2001e+06,3.6495e+05,9000
#18.7,2056.5,90.966,1.4066e+07,6.2214e+05,9000
#18.7,629.19,44.232,4.3157e+06,3.0339e+05,9000
