0.48333,11381,386.5,3.3705e+06,1.1229e+05,301
0.48333,11770,450.94,3.4958e+06,1.3194e+05,301
5.8,3640.9,122.49,5.9951e+06,2.0158e+05,1750
5.8,2873.6,103.8,4.7451e+06,1.7132e+05,1750
10.5,2263.6,59.149,1.5484e+07,4.0454e+05,9000
10.5,1157.2,42.876,7.9381e+06,2.941e+05,9000
#13.25,1840.9,56.674,1.2592e+07,3.8762e+05,9000
#13.25,673.36,33.994,4.6189e+06,2.3318e+05,9000
#15.983,1584,53.265,1.0835e+07,3.6431e+05,9000
#15.983,400.2,30.012,2.7452e+06,2.0586e+05,9000
#18.7,1365.4,49.828,9.3396e+06,3.4081e+05,9000
#18.7,272.99,26.687,1.8726e+06,1.8306e+05,9000
