0.26667,968.16,412.21,2.5648e+05,1.0918e+05,268
4.0333,351.91,72.531,5.9572e+05,1.2278e+05,1797
4.0333,344.85,71.084,5.8433e+05,1.2045e+05,1797
#32.2,661.09,40.995,5.5449e+06,3.4384e+05,12000
#32.2,41.051,13.484,3.4533e+05,1.1343e+05,12000
#36.133,578.33,43.745,4.8507e+06,3.669e+05,12000
#36.133,47.578,13.3,4.0024e+05,1.1188e+05,12000
#40.05,495.39,30.72,4.1551e+06,2.5766e+05,12000
#40.05,46.176,12.816,3.8844e+05,1.0781e+05,12000
#43.933,503.39,34.637,4.2222e+06,2.9051e+05,12000
#43.933,43.64,12.635,3.6711e+05,1.0629e+05,12000
#47.8,493.36,31.072,4.138e+06,2.6061e+05,12000
#47.8,43.856,12.085,3.6893e+05,1.0166e+05,12000
#51.633,493.62,28.23,4.8879e+06,2.7952e+05,15600
#51.633,53.415,11.415,5.3048e+05,1.1337e+05,15600
#120.72,1150.1,91.034,1.7801e+07,1.4089e+06,57522
#120.72,89.34,47.944,1.3869e+06,7.4426e+05,57522
#201.3,1559,81.326,2.4722e+07,1.2894e+06,89407
#201.3,131.82,35.793,2.0966e+06,5.6927e+05,89407
#85.433,439.34,52.04,2.0169e+06,2.389e+05,5455
#85.433,41.473,18.38,1.9096e+05,84627,5455
