0.11667,2.2303e+05,8546.4,2.098e+07,6.7255e+05,95
0.11667,2.383e+05,9697.6,2.2479e+07,7.8373e+05,95
5.25,76676,1177.2,5.1573e+07,7.7802e+05,692
5.25,71226,1283.3,4.8044e+07,8.5487e+05,692
10.4,28052,719.26,1.9186e+08,4.9187e+06,9000
10.4,22660,675.25,1.5543e+08,4.6312e+06,9000
#13.817,15859,452.02,1.0847e+08,3.0912e+06,9000
#13.817,11291,380.06,7.7448e+07,2.6067e+06,9000
#17.117,10315,367.93,7.0548e+07,2.5163e+06,9000
#17.117,5921.6,259.27,4.0617e+07,1.7783e+06,9000
#20.317,7836.3,324.37,5.3597e+07,2.2184e+06,9000
#20.317,3284.4,191.4,2.2528e+07,1.3128e+06,9000
