4.65,4.7806e+05,60804
4.65,4.7787e+05,75134
4.65,6.2677e+05,1.0038e+05
4.65,4.4178e+05,62135
4.65,4.5755e+05,66137
4.65,4.5428e+05,66904
4.65,4.4197e+05,66663
4.65,4.3873e+05,68670
4.65,4.0412e+05,82008
0.8,5.4514e+05,70767
0.8,5.4418e+05,96071
0.8,7.3841e+05,1.9671e+05
0.8,5.8549e+05,1.0844e+05
0.8,5.3245e+05,81143
0.8,4.8848e+05,92791
0.8,5.6269e+05,99310
0.8,5.2373e+05,1.2805e+05
0.8,4.9545e+05,1.4562e+05
6.3833,2.5343e+05,33016
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
6.3833,5.1604e+05,82127
6.3833,6.9341e+05,99957
6.3833,2.4882e+05,40463
6.3833,2.2637e+05,37287
6.3833,3.4708e+05,59183
6.3833,2.2412e+05,53586
32.2,1.7834e+05,22629
32.2,1.7624e+05,27536
-5.9005e+07,NaN,NaN
32.2,1.7282e+05,23507
32.2,1.6557e+05,23640
32.2,1.7178e+05,24742
32.2,1.667e+05,24239
32.2,1.6546e+05,25251
32.2,1.6889e+05,30953
36.133,1.5529e+05,19731
36.133,1.6026e+05,25247
-5.9005e+07,NaN,NaN
36.133,1.4387e+05,19996
36.133,1.445e+05,20697
36.133,1.4396e+05,20932
36.133,1.4859e+05,21831
36.133,1.2908e+05,20072
36.133,1.4456e+05,26972
40.05,1.3444e+05,17082
40.05,1.3975e+05,22363
-5.9005e+07,NaN,NaN
40.05,1.2649e+05,17787
40.05,1.2676e+05,18198
40.05,1.2009e+05,17684
40.05,1.2272e+05,18152
40.05,1.1895e+05,18616
40.05,1.2769e+05,24746
43.933,1.1844e+05,15060
43.933,1.2132e+05,19748
-5.9005e+07,NaN,NaN
43.933,1.0589e+05,15168
43.933,1.0763e+05,15511
43.933,1.0732e+05,15838
43.933,1.1313e+05,16891
43.933,1.1047e+05,17515
43.933,1.042e+05,20717
47.8,1.0193e+05,12972
47.8,1.1169e+05,18227
-5.9005e+07,NaN,NaN
47.8,98940,14800
47.8,94087,13560
47.8,89782,13574
47.8,97859,14873
47.8,96464,15876
47.8,95877,19685
51.633,88954,11331
51.633,94009,15544
-5.9005e+07,NaN,NaN
51.633,85958,12814
51.633,81762,11783
51.633,79637,11979
51.633,78212,11950
51.633,79050,13286
51.633,81751,16986
67.267,51378,7047.8
67.267,50155,14581
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
67.267,49557,9222.6
67.267,55023,13818
67.267,54699,13691
67.267,50174,21564
67.267,48568,27766
120.72,7511.8,1006
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
-5.9005e+07,NaN,NaN
120.72,7230.4,1181.7
120.72,6580.7,1641.6
120.72,6267.8,1701.2
120.72,6809.8,2599.3
120.72,6868.3,4038.6
17.117,3.0937e+05,39202
17.117,3.0084e+05,45933
17.117,4.5512e+05,73323
17.117,3.5657e+05,48635
17.117,2.9917e+05,42683
17.117,3.1548e+05,45790
17.117,3.1047e+05,45242
17.117,2.8204e+05,42537
17.117,2.7947e+05,51879
85.433,26924,3580.2
85.433,30858,7984.6
-5.9005e+07,NaN,NaN
85.433,26221,7267.1
85.433,25709,4227.7
85.433,21465,5570.1
85.433,24839,6382.9
85.433,19575,9384.6
-5.9005e+07,NaN,NaN
