0.68333,7.3602e+05,18060,2.8113e+09,6.897e+07,4500
0.68333,8.1994e+05,73574,3.1325e+09,2.8108e+08,4500
0.68333,8.4557e+05,1.0135e+05,3.2305e+09,3.872e+08,4500
2.2167,4.9894e+05,12242,1.9057e+09,4.6754e+07,4500
2.2167,5.4768e+05,49254,2.0923e+09,1.8817e+08,4500
2.2167,5.6834e+05,68348,2.1713e+09,2.6112e+08,4500
3.6667,3.4221e+05,8459.4,1.3071e+09,3.2307e+07,4500
3.6667,3.7068e+05,33379,1.4161e+09,1.2752e+08,4500
3.6667,3.7844e+05,45605,1.4458e+09,1.7423e+08,4500
5.0667,2.3779e+05,5834.5,9.0824e+08,2.2282e+07,4500
5.0667,2.5888e+05,23345,9.89e+08,8.9183e+07,4500
5.0667,2.6298e+05,31805,1.0047e+09,1.2151e+08,4500
6.45,1.6774e+05,4183.5,6.4068e+08,1.5977e+07,4500
6.45,1.8065e+05,16372,6.9017e+08,6.2545e+07,4500
6.45,1.833e+05,22296,7.003e+08,8.518e+07,4500
7.8167,1.1866e+05,2990.3,4.5323e+08,1.142e+07,4500
7.8167,1.2413e+05,11293,4.7421e+08,4.3141e+07,4500
7.8167,1.2595e+05,15369,4.8118e+08,5.8718e+07,4500
9.1667,86142,2225,2.5179e+08,6.5023e+06,3300
9.1667,86526,8007.2,2.5297e+08,2.3409e+07,3300
9.1667,88253,10960,2.5802e+08,3.2043e+07,3300
#64.8,214.17,77.498,7.9528e+05,2.8777e+05,4351
#64.8,293.17,145.74,1.0887e+06,5.4119e+05,4351
11.65,47371,3510.9,1.6773e+07,1.2397e+06,359
11.65,49885,4910.8,1.7663e+07,1.7361e+06,359
#81.983,8300.8,301.03,2.7402e+07,9.9362e+05,3793
#153.07,1179,187.76,1.5758e+07,2.5094e+06,85440
#153.07,1305.7,292.32,1.7451e+07,3.9071e+06,85440
#320.58,42010,1048.5,5.6139e+08,1.4e+07,85977
#320.58,1050,314.62,1.4034e+07,4.2052e+06,85977
#320.58,1419.2,568.02,1.897e+07,7.5924e+06,85977
#454.1,970.78,102.92,1.2964e+07,1.3743e+06,80151
#454.1,996.55,151.19,1.3309e+07,2.019e+06,80151
#593.4,1.4656e+05,3598.6,1.9617e+09,4.8127e+07,3.3932e+05
#593.4,4027.6,703.25,5.3921e+07,9.415e+06,3.3932e+05
#593.4,5149.3,1362,6.8941e+07,1.8235e+07,3.3932e+05
#37.95,251.67,60.678,4.1113e+05,99124,1743
#37.95,281.18,125.89,4.5935e+05,2.0566e+05,1743
#372.4,2208.6,129.04,2.9568e+07,1.7274e+06,1.6029e+05
#372.4,2166.4,185.93,2.9004e+07,2.4892e+06,1.6029e+05
