# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 3.338574e-05 1.985598e-18 3.338574e-05 4.661458e-12 3.338413e-05 0.000000e+00
 3.500000e+00 1.070581e+02 4.727115e-03 1.042312e+02 9.013817e-03 1.028700e+02 0.000000e+00
 6.000000e+00 1.069326e+03 2.499834e-02 7.995861e+02 3.940217e-02 5.776726e+02 0.000000e+00
 8.500000e+00 1.999863e+03 7.435824e-03 1.249615e+03 3.489221e-02 3.772925e+02 0.000000e+00
 1.100000e+01 2.485210e+03 1.744418e-03 1.484971e+03 2.134385e-02 2.586850e+02 0.000000e+00
 1.350000e+01 2.728817e+03 4.134350e-04 1.617985e+03 7.103793e-03 2.224852e+02 0.000000e+00
 1.600000e+01 2.878809e+03 1.040403e-04 1.698264e+03 1.542372e-03 2.087623e+02 0.000000e+00
 1.850000e+01 2.979816e+03 2.762397e-05 1.748652e+03 2.564422e-04 2.030861e+02 0.000000e+00
 2.100000e+01 3.047377e+03 7.829369e-06 1.780821e+03 5.017081e-05 1.935770e+02 0.000000e+00
 2.350000e+01 3.092898e+03 2.296975e-06 1.801502e+03 1.302451e-05 1.828899e+02 0.000000e+00
 2.600000e+01 3.125372e+03 7.128340e-07 1.814509e+03 4.642007e-06 1.721262e+02 0.000000e+00
 2.850000e+01 3.149050e+03 2.306386e-07 1.821589e+03 1.973805e-06 1.620198e+02 0.000000e+00
 3.100000e+01 3.166634e+03 7.766134e-08 1.824766e+03 8.067306e-07 1.524282e+02 0.000000e+00
 3.350000e+01 3.179481e+03 2.713508e-08 1.825357e+03 2.765569e-07 1.433064e+02 0.000000e+00
 3.600000e+01 3.187436e+03 9.815580e-09 1.823775e+03 8.079417e-08 1.345790e+02 0.000000e+00
 3.850000e+01 3.190481e+03 3.651664e-09 1.820484e+03 2.142053e-08 1.304734e+02 0.000000e+00
 4.100000e+01 3.189221e+03 1.419107e-09 1.816046e+03 6.390626e-09 1.227355e+02 0.000000e+00
