X,Y
0.00000,130.667
0.00427,131.000
0.00855,131.333
0.01282,132.333
0.01709,131.333
0.02137,128.333
0.02564,129.000
0.02991,126.667
0.03419,125.000
0.03846,126.333
0.04273,131.333
0.04700,133.667
0.05128,134.000
0.05555,133.667
0.05982,123.333
0.06410,124.000
0.06837,129.333
0.07264,132.333
0.07692,133.333
0.08119,132.333
0.08546,130.333
0.08974,128.333
0.09401,128.333
0.09828,126.333
0.10256,126.333
0.10683,128.333
0.11110,126.333
0.11538,123.667
0.11965,125.000
0.12392,130.000
0.12819,135.667
0.13247,135.000
0.13674,133.667
0.14101,131.000
0.14529,129.667
0.14956,131.000
0.15383,133.333
0.15811,135.333
0.16238,131.667
0.16665,128.667
0.17093,127.333
0.17520,128.667
0.17947,131.667
0.18375,132.333
0.18802,129.000
0.19229,125.667
0.19657,124.000
0.20084,126.667
0.20511,130.000
0.20938,131.000
0.21366,132.333
0.21793,134.000
0.22220,134.333
0.22648,134.333
0.23075,128.000
0.23502,128.667
0.23930,130.667
0.24357,130.333
0.24784,130.333
0.25212,130.667
0.25639,131.667
0.26066,133.333
0.26494,134.333
0.26921,133.333
0.27348,132.333
0.27775,132.333
0.28203,133.333
0.28630,132.667
0.29057,129.667
0.29485,128.000
0.29912,138.667
0.30339,136.667
0.30767,135.000
0.31194,134.000
0.31621,134.667
0.32049,136.333
0.32476,138.000
0.32903,138.000
0.33331,139.000
0.33758,138.333
0.34185,138.333
0.34613,138.000
0.35040,137.000
0.35467,135.000
0.35894,133.000
0.36322,132.000
0.36749,136.000
0.37176,134.667
0.37604,131.000
0.38031,130.333
0.38458,135.000
0.38886,142.000
0.39313,140.667
0.39740,136.667
0.40168,136.333
0.40595,134.667
0.41022,134.667
0.41450,140.333
0.41877,146.333
0.42304,149.000
0.42732,146.333
0.43159,142.667
0.43586,144.000
0.44013,147.333
0.44441,150.333
0.44868,148.000
0.45295,142.667
0.45723,140.667
0.46150,142.000
0.46577,145.000
0.47005,146.667
0.47432,149.333
0.47859,148.333
0.48287,145.000
0.48714,145.000
0.49141,148.667
0.49569,148.667
0.49996,146.000
0.50423,145.667
0.50851,148.333
0.51278,148.333
0.51705,145.333
0.52132,146.667
0.52560,151.000
0.52987,152.667
0.53414,149.333
0.53842,155.667
0.54269,157.667
0.54696,160.333
0.55124,161.333
0.55551,160.333
0.55978,158.667
0.56406,158.667
0.56833,159.000
0.57260,157.333
0.57688,160.000
0.58115,162.333
0.58542,162.667
0.58970,160.000
0.59397,159.000
0.59824,162.333
0.60251,165.333
0.60679,170.667
0.61106,171.000
0.61533,171.333
0.61961,168.333
0.62388,166.000
0.62815,165.667
0.63243,170.000
0.63670,173.667
0.64097,181.000
0.64525,179.333
0.64952,178.667
0.65379,179.000
0.65807,182.000
0.66234,181.333
0.66661,176.333
0.67089,172.000
0.67516,192.333
0.67943,195.667
0.68370,198.000
0.68798,194.000
0.69225,187.667
0.69652,184.000
0.70080,189.000
