X,Y
0.00000,120.667
0.00426,122.360
0.00852,122.386
0.01278,125.333
0.01705,127.422
0.02131,127.230
0.02557,124.202
0.02983,122.701
0.03409,122.455
0.03835,124.000
0.04261,122.607
0.04687,123.811
0.05114,126.386
0.05540,127.651
0.05966,125.381
0.06392,121.005
0.06818,121.103
0.07244,123.635
0.07670,124.866
0.08096,127.833
0.08523,128.563
0.08949,125.333
0.09375,125.051
0.09801,127.968
0.10227,126.981
0.10653,122.432
0.11079,117.098
0.11505,120.097
0.11932,122.333
0.12358,122.714
0.12784,121.727
0.13210,122.333
0.13636,124.774
0.14062,128.134
0.14488,125.293
0.14915,125.246
0.15341,125.325
0.15767,123.819
0.16193,120.487
0.16619,119.565
0.17045,122.508
0.17471,126.670
0.17897,126.217
0.18324,123.632
0.18750,122.270
0.19176,124.164
0.19602,125.667
0.20028,124.667
0.20454,121.988
0.20880,119.906
0.21306,121.273
0.21733,121.662
0.22159,121.682
0.22585,121.390
0.23011,121.416
0.23437,123.000
0.23863,124.198
0.24289,124.676
0.24716,121.225
0.25142,123.195
0.25568,123.710
0.25994,122.333
0.26420,123.315
0.26846,125.842
0.27272,126.399
0.27698,123.749
0.28125,126.846
0.28551,126.586
0.28977,126.081
0.29403,124.810
0.29829,123.694
0.30255,124.023
0.30681,125.315
0.31107,127.191
0.31534,119.187
0.31960,123.694
0.32386,129.650
0.32812,129.637
0.33238,126.644
0.33664,124.667
0.34090,126.667
0.34516,129.604
0.34943,129.981
0.35369,122.823
0.35795,118.203
0.36221,121.421
0.36647,125.136
0.37073,126.474
0.37499,126.922
0.37926,127.386
0.38352,122.153
0.38778,126.613
0.39204,130.254
0.39630,131.414
0.40056,133.247
0.40482,134.268
0.40908,130.976
0.41335,125.485
0.41761,124.002
0.42187,125.438
0.42613,125.918
0.43039,123.216
0.43465,120.779
0.43891,120.948
0.44317,123.755
0.44744,126.563
0.45170,119.984
0.45596,128.473
0.46022,134.916
0.46448,132.434
0.46874,124.579
0.47300,120.038
0.47727,124.719
0.48153,131.000
0.48579,127.010
0.49005,123.825
0.49431,120.014
0.49857,119.069
0.50283,120.460
0.50709,123.349
0.51136,124.623
0.51562,125.645
0.51988,120.667
0.52414,122.333
0.52840,126.333
0.53266,128.000
0.53692,129.000
0.54118,127.000
0.54545,124.000
0.54971,122.000
0.55397,122.590
0.55823,124.000
0.56249,124.731
0.56675,125.233
0.57101,125.272
0.57527,125.055
0.57954,125.090
0.58380,125.921
0.58806,125.317
0.59232,123.628
0.59658,124.000
0.60084,125.032
0.60510,124.254
0.60937,122.001
0.61363,124.073
0.61789,128.437
0.62215,125.809
0.62641,125.357
0.63067,124.274
0.63493,123.575
0.63919,125.301
0.64346,126.033
0.64772,122.355
0.65198,114.983
0.65624,120.007
0.66050,125.667
0.66476,128.303
0.66902,125.921
0.67328,123.237
0.67755,123.504
0.68181,125.628
0.68607,127.001
0.69033,126.916
0.69459,126.942
0.69885,125.817
0.70311,123.333
0.70737,121.667
0.71164,121.333
0.71590,123.333
0.72016,125.478
0.72442,123.896
0.72868,123.667
0.73294,124.411
0.73720,126.000
0.74147,124.239
0.74573,121.372
0.74999,122.281
0.75425,126.501
0.75851,124.550
0.76277,124.333
0.76703,123.415
0.77129,122.455
0.77556,122.333
0.77982,122.933
