X,Y
0.00000,117.667
0.00426,116.007
0.00852,118.674
0.01278,121.328
0.01705,121.333
0.02131,120.018
0.02557,119.033
0.02983,119.705
0.03409,120.406
0.03835,119.148
0.04261,116.849
0.04687,115.787
0.05114,117.934
0.05540,121.097
0.05966,122.027
0.06392,121.781
0.06818,119.275
0.07244,116.031
0.07670,117.934
0.08096,120.126
0.08523,120.485
0.08949,120.399
0.09375,120.133
0.09801,121.250
0.10227,123.333
0.10653,125.681
0.11079,124.860
0.11505,123.126
0.11932,120.439
0.12358,117.016
0.12784,114.557
0.13210,113.169
0.13636,112.408
0.14062,116.060
0.14488,118.876
0.14915,121.936
0.15341,123.672
0.15767,123.199
0.16193,121.723
0.16619,120.596
0.17045,120.812
0.17471,118.776
0.17897,118.437
0.18324,119.432
0.18750,120.333
0.19176,120.749
0.19602,121.335
0.20028,122.514
0.20454,122.541
0.20880,123.696
0.21306,123.820
0.21733,124.055
0.22159,122.769
0.22585,122.166
0.23011,121.131
0.23437,120.231
0.23863,119.647
0.24289,119.563
0.24716,120.211
0.25142,121.548
0.25568,122.546
0.25994,122.778
0.26420,121.344
0.26846,120.230
0.27272,119.117
0.27698,119.140
0.28125,120.333
0.28551,121.301
0.28977,119.419
0.29403,117.459
0.29829,117.383
0.30255,120.313
0.30681,123.131
0.31107,125.337
0.31534,122.993
0.31960,123.257
0.32386,124.277
0.32812,123.140
0.33238,119.377
0.33664,120.189
0.34090,123.417
0.34516,123.295
0.34943,123.517
0.35369,123.000
0.35795,121.514
0.36221,118.441
0.36647,117.823
0.37073,120.683
0.37499,122.173
0.37926,125.541
0.38352,121.344
0.38778,119.668
0.39204,122.333
0.39630,123.503
0.40056,121.694
0.40482,121.705
0.40908,123.350
0.41335,119.863
0.41761,120.690
0.42187,120.000
0.42613,116.120
0.43039,116.413
0.43465,121.109
0.43891,122.812
0.44317,122.667
0.44744,121.809
0.45170,122.228
0.45596,122.359
0.46022,123.213
0.46448,124.071
0.46874,124.667
0.47300,125.404
0.47727,125.483
0.48153,117.971
0.48579,119.257
0.49005,121.820
0.49431,121.887
0.49857,121.268
0.50283,120.000
0.50709,121.301
0.51136,121.978
0.51562,121.865
0.51988,122.111
0.52414,122.235
0.52840,121.333
0.53266,120.984
0.53692,121.645
0.54118,124.259
0.54545,126.898
0.54971,128.760
0.55397,123.421
0.55823,120.140
0.56249,123.022
0.56675,124.789
0.57101,123.333
0.57527,122.175
0.57954,123.676
0.58380,125.089
0.58806,124.328
0.59232,123.106
0.59658,121.805
0.60084,121.208
0.60510,121.149
0.60937,123.188
0.61363,124.120
0.61789,121.346
0.62215,120.872
0.62641,120.858
0.63067,121.319
0.63493,121.852
0.63919,121.027
0.64346,120.858
0.64772,120.678
0.65198,121.721
0.65624,122.386
0.66050,123.537
0.66476,125.186
0.66902,126.240
0.67328,125.454
0.67755,122.869
0.68181,120.585
0.68607,126.373
0.69033,125.924
0.69459,123.594
0.69885,121.770
0.70311,119.995
0.70737,120.914
0.71164,123.058
0.71590,125.197
0.72016,121.051
0.72442,118.546
0.72868,118.219
0.73294,120.767
0.73720,124.260
0.74147,124.902
0.74573,121.421
0.74999,115.909
0.75425,119.164
0.75851,121.379
0.76277,125.333
0.76703,130.656
0.77129,129.978
0.77556,124.326
0.77982,122.667
0.78408,122.665
0.78834,125.326
0.79260,124.322
0.79686,123.630
0.80112,122.936
0.80538,123.891
0.80965,122.295
0.81391,118.087
0.81817,115.180
0.82243,116.443
0.82669,116.767
0.83095,118.421
0.83521,118.785
0.83948,117.871
0.84374,117.940
0.84800,120.783
0.85226,122.760
0.85652,125.301
0.86078,124.987
0.86504,122.781
0.86930,124.667
0.87357,127.120
0.87783,128.709
0.88209,126.158
0.88635,122.545
0.89061,125.858
0.89487,125.902
0.89913,125.306
0.90339,126.370
0.90766,129.333
0.91192,127.220
0.91618,122.667
0.92044,117.546
0.92470,119.791
0.92896,122.588
0.93322,127.262
0.93748,127.404
0.94175,123.831
0.94601,122.186
0.95027,120.916
0.95453,121.597
0.95879,123.257
0.96305,122.843
0.96731,122.840
0.97158,120.421
0.97584,119.000
0.98010,118.333
0.98436,120.000
0.98862,122.333
0.99288,125.967
0.99714,124.514
1.00140,121.818
1.00567,120.658
1.00993,121.393
1.01419,121.636
1.01845,121.299
1.02271,120.142
1.02697,123.699
1.03123,123.118
1.03549,121.891
1.03976,121.889
1.04402,122.898
1.04828,123.022
1.05254,122.383
1.05680,121.184
1.06106,121.650
1.06532,121.991
1.06958,121.162
1.07385,120.672
1.07811,120.638
1.08237,120.647
1.08663,122.180
1.09089,123.862
1.09515,123.206
1.09941,121.924
1.10368,121.918
1.10794,123.754
1.11220,125.377
1.11646,125.863
1.12072,122.625
1.12498,119.781
1.12924,121.931
1.13350,123.787
1.13777,125.404
1.14203,125.572
1.14629,123.900
1.15055,122.885
1.15481,122.455
1.15907,123.468
1.16333,120.000
1.16759,122.160
1.17186,125.348
1.17612,126.197
1.18038,123.685
1.18464,121.038
1.18890,119.716
1.19316,119.610
1.19742,120.869
1.20169,121.027
1.20595,120.000
1.21021,119.219
1.21447,120.038
1.21873,121.188
1.22299,122.667
1.22725,124.333
1.23151,120.984
1.23578,120.087
1.24004,121.104
1.24430,122.191
1.24856,122.603
1.25282,122.153
1.25708,119.319
1.26134,116.087
1.26560,120.918
1.26987,121.914
1.27413,123.122
1.27839,123.120
1.28265,122.044
1.28691,121.350
1.29117,121.000
1.29543,120.774
1.29969,121.111
1.30396,121.224
1.30822,121.215
1.31248,122.545
1.31674,124.355
1.32100,125.055
1.32526,124.632
1.32952,123.311
1.33379,122.315
1.33805,120.386
1.34231,119.683
1.34657,121.120
1.35083,122.709
1.35509,124.142
1.35935,124.973
1.36361,123.829
1.36788,123.590
1.37214,120.599
1.37640,118.098
1.38066,120.486
1.38492,123.632
1.38918,124.188
1.39344,122.907
1.39770,120.472
1.40197,123.191
1.40623,125.481
1.41049,124.299
1.41475,122.233
1.41901,122.153
1.42327,126.100
1.42753,127.271
1.43180,124.678
1.43606,120.769
1.44032,124.286
1.44458,129.311
1.44884,129.000
1.45310,123.182
1.45736,117.929
1.46162,117.918
1.46589,120.814
1.47015,126.525
1.47441,126.406
1.47867,124.874
1.48293,124.863
1.48719,125.945
1.49145,127.754
1.49571,126.749
1.49998,125.667
1.50424,121.953
1.50850,120.579
1.51276,120.273
1.51702,121.630
1.52128,124.617
1.52554,126.333
1.52980,125.410
1.53407,123.754
1.53833,118.785
1.54259,121.102
1.54685,123.066
1.55111,121.029
1.55537,121.670
1.55963,126.000
1.56390,130.339
1.56816,130.344
1.57242,123.066
1.57668,123.435
1.58094,124.479
1.58520,126.421
1.58946,128.013
1.59372,127.623
1.59799,126.836
1.60225,126.727
1.60651,125.313
1.61077,125.268
1.61503,125.525
1.61929,125.719
1.62355,126.699
1.62781,126.579
1.63208,126.581
1.63634,125.858
1.64060,128.852
1.64486,127.770
1.64912,126.372
1.65338,124.800
1.65764,124.749
1.66191,125.333
1.66617,126.168
1.67043,127.949
1.67469,130.617
1.67895,128.847
1.68321,126.964
1.68747,126.060
1.69173,126.113
1.69600,126.800
1.70026,126.995
1.70452,126.891
1.70878,125.716
1.71304,123.459
1.71730,122.607
1.72156,124.164
1.72582,129.093
1.73009,131.322
1.73435,130.672
1.73861,127.918
1.74287,120.372
1.74713,122.148
1.75139,126.749
1.75565,128.918
1.75991,128.266
1.76418,126.945
1.76844,126.780
1.77270,127.515
1.77696,129.798
1.78122,127.996
1.78548,127.281
1.78974,128.093
1.79401,128.698
1.79827,127.898
1.80253,126.164
1.80679,125.406
1.81105,131.182
1.81531,128.541
1.81957,126.222
1.82383,125.791
1.82810,126.699
1.83236,127.949
1.83662,128.517
1.84088,127.230
1.84514,133.554
1.84940,132.248
1.85366,129.918
1.85792,128.049
1.86219,126.980
1.86645,128.120
1.87071,130.000
1.87497,131.596
1.87923,125.940
1.88349,126.944
1.88775,128.772
1.89201,129.049
1.89628,128.053
1.90054,128.062
1.90480,129.814
1.90906,131.333
1.91332,133.399
1.91758,133.093
1.92184,132.166
1.92611,131.020
1.93037,130.492
1.93463,130.494
1.93889,130.982
1.94315,131.481
1.94741,127.656
1.95167,128.166
1.95593,129.639
1.96020,129.829
1.96446,130.423
1.96872,130.656
1.97298,130.413
1.97724,130.215
1.98150,128.738
1.98576,129.876
1.99002,130.517
1.99429,129.852
1.99855,128.230
2.00281,128.424
2.00707,130.574
2.01133,131.860
2.01559,131.692
2.01985,133.940
2.02412,134.525
2.02838,129.470
2.03264,123.344
2.03690,123.313
2.04116,130.707
2.04542,138.514
2.04968,134.696
2.05394,131.643
2.05821,129.120
2.06247,128.763
2.06673,131.200
2.07099,134.645
2.07525,136.871
2.07951,137.889
2.08377,134.443
2.08803,134.118
2.09230,134.122
