X,Y
0.00000,122.3333
0.00426,126.2985
0.00852,123.2954
0.01278,124.3143
0.01705,124.7806
0.02131,124.8091
0.02557,124.6097
0.02983,124.5338
0.03409,125.7975
0.03835,125.8006
0.04261,121.2700
0.04687,119.3681
0.05114,119.7426
0.05540,120.3745
0.05966,122.2004
0.06392,122.7627
0.06818,122.2827
0.07244,122.2795
0.07670,123.7152
0.08096,121.3333
0.08523,120.7933
0.08949,120.9989
0.09375,123.4030
0.09801,124.8122
0.10227,123.7426
0.10653,123.3502
0.11079,121.1646
0.11505,121.7521
0.11932,122.0000
0.12358,122.8165
0.12784,121.8101
0.13210,121.1171
0.13636,120.2194
0.14062,119.5179
0.14488,119.7848
0.14915,119.1108
0.15341,119.4557
0.15767,120.9008
0.16193,124.0274
0.16619,125.7532
0.17045,125.2067
0.17471,124.2215
0.17897,122.7996
0.18324,121.9388
0.18750,121.2785
0.19176,121.3333
0.19602,123.7089
0.20028,124.1076
0.20454,124.6624
0.20880,123.2479
0.21306,124.2257
0.21733,124.6983
0.22159,124.5021
0.22585,124.3354
0.23011,123.3587
0.23437,122.4219
0.23863,121.3460
0.24289,120.6076
0.24716,123.8840
0.25142,124.6667
0.25568,125.5232
0.25994,125.6846
0.26420,126.2954
0.26846,126.3270
0.27272,126.3587
0.27698,126.2838
0.28125,126.5865
0.28551,125.3333
0.28977,124.6667
0.29403,123.3449
0.29829,123.3375
0.30255,124.7679
0.30681,126.7721
0.31107,127.7194
0.31534,127.0000
0.31960,124.3333
0.32386,121.4810
0.32812,119.6667
0.33238,119.9262
0.33664,120.8333
0.34090,120.3080
0.34516,119.5137
0.34943,122.1118
0.35369,124.4546
0.35795,124.9325
0.36221,123.6139
0.36647,120.2996
0.37073,119.1593
0.37499,121.6118
0.37926,123.7700
0.38352,118.4852
0.38778,118.2110
0.39204,120.2954
0.39630,121.7838
0.40056,122.7743
0.40482,123.3660
0.40908,124.4894
0.41335,124.5084
0.41761,124.5274
0.42187,123.6065
0.42613,123.6667
0.43039,123.7078
0.43465,124.6667
0.43891,124.6667
0.44317,124.9958
0.44744,126.3281
0.45170,121.6772
0.45596,122.7089
0.46022,125.1181
0.46448,127.4030
0.46874,126.9557
0.47300,124.8386
0.47727,120.9156
0.48153,118.4546
0.48579,116.7996
0.49005,118.7004
0.49431,121.8354
0.49857,123.0000
0.50283,123.2131
0.50709,121.8270
0.51136,119.6203
0.51562,117.4821
0.51988,123.0696
0.52414,125.1076
0.52840,125.9789
0.53266,126.0844
0.53692,124.3333
0.54118,123.7352
0.54545,125.0464
0.54971,125.2173
