X,Y
0.61789,123.0000
0.62215,121.0211
0.62641,129.9241
0.63067,123.9114
0.63493,121.9536
0.63919,125.6962
0.64346,128.7342
0.64772,128.7215
0.65198,131.3080
0.65624,135.9620
0.66050,126.1392
0.66476,125.3755
0.66902,124.3460
0.67328,125.3333
0.67755,127.0000
0.68181,128.8565
0.68607,128.7468
0.69033,127.8650
0.69459,127.8987
0.69885,126.5907
0.70311,124.2447
0.70737,123.7046
0.71164,124.0844
0.71590,122.7468
0.72016,122.3122
0.72442,122.9156
0.72868,122.4008
0.73294,123.3333
0.73720,124.2658
0.74147,124.9494
0.74573,122.7637
0.74999,121.7257
0.75425,123.1224
0.75851,125.5443
0.76277,119.5443
0.76703,120.0211
0.77129,121.2785
0.77556,123.9114
0.77982,124.6878
0.78408,122.5485
0.78834,122.0886
0.79260,122.3460
0.79686,119.2321
0.80112,121.3671
0.80538,121.8228
0.80965,119.5949
0.81391,118.1688
0.81817,119.4388
0.82243,121.9958
0.82669,123.2996
0.83095,130.5316
0.83521,127.2954
0.83948,122.9831
0.84374,121.6667
0.84800,122.9114
0.85226,124.4557
0.85652,124.7004
0.86078,123.8903
0.86504,126.7468
0.86930,129.3840
0.87357,130.3966
0.87783,127.6076
0.88209,124.3333
0.88635,122.8017
0.89061,122.9114
0.89487,123.1730
0.89913,129.1181
0.90339,128.9789
0.90766,126.8861
0.91192,124.1097
0.91618,122.6329
0.92044,121.5106
0.92470,120.4135
0.92896,118.1477
0.93322,121.8101
0.93748,124.4852
0.94175,127.8734
0.94601,128.3038
0.95027,126.7975
0.95453,124.2363
0.95879,123.0000
0.96305,122.7890
0.96731,122.2996
0.97158,124.4852
0.97584,128.7637
0.98010,130.7046
0.98436,127.7679
0.98862,124.6287
0.99288,128.8987
0.99714,134.9536
1.00140,128.8059
1.00567,127.9536
1.00993,127.0000
1.01419,127.9156
1.01845,128.5992
1.02271,128.6667
1.02697,125.9662
1.03123,123.5401
1.03549,125.2068
1.03976,128.1561
