Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
57CO,366.8,0.0012,0.0003,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
MN-52m,377.738,1.68,0.03,1266.0,21.1,0.3516666666666667,0.014652777777777778
FE-53g,377.9,42.0,2.1,510.6,8.51,0.14183333333333334,0.0059097222222222225
59FE,382.0,0.018,0.003,3844368.0,64072.8,1067.88,44.495
55CO,385.4,0.54,0.05,63108.0,1051.8,17.53,0.7304166666666667
52V,398.08,0.008,0.001,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,398.09,0.089,0.007,483062.4,8051.04,134.184,5.591
MN-52g,399.57,0.183,0.007,483062.4,8051.04,134.184,5.591
56CO,411.145,0.024,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,411.5,1.07,0.08,63108.0,1051.8,17.53,0.7304166666666667
48CR,420.5,0.015,0.015,77616.0,1293.6,21.56,0.8983333333333333
55CO,477.2,20.2,1.7,63108.0,1051.8,17.53,0.7304166666666667
56CO,486.55,0.054,0.002,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,502.06,0.21,0.02,483062.4,8051.04,134.184,5.591
FE-53g,511.0,194.0,23.0,510.6,8.51,0.14183333333333334,0.0059097222222222225
54MN,511.0,6e-07,6e-07,26961120.0,449352.0,7489.2,312.05
MN-52m,511.0,193.1,1.0,1266.0,21.1,0.3516666666666667,0.014652777777777778
MN-52g,511.0,58.8,0.8,483062.4,8051.04,134.184,5.591
51MN,511.0,194.18,0.06,2772.0,46.2,0.77,0.03208333333333333
49CR,511.0,186.0,5.0,2538.0,42.3,0.705,0.029375
48CR,511.0,3.2,0.5,77616.0,1293.6,21.56,0.8983333333333333
CO-58g,511.0,29.8,0.4,6122304.0,102038.4,1700.64,70.86
47V,511.0,193.09,0.06,1956.0,32.6,0.5433333333333333,0.02263888888888889
48V,511.0,99.8,0.8,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
56CO,511.0,39.0,3.0,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,511.0,152.0,7.0,63108.0,1051.8,17.53,0.7304166666666667
55CO,520.0,0.83,0.08,63108.0,1051.8,17.53,0.7304166666666667
57CO,570.09,0.0158,0.001,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
49CR,595.3,0.00013,0.00013,2538.0,42.3,0.705,0.029375
MN-52g,600.16,0.39,0.011,483062.4,8051.04,134.184,5.591
51MN,603.8,0.015,0.005,2772.0,46.2,0.77,0.03208333333333333
MN-52g,647.47,0.4,0.02,483062.4,8051.04,134.184,5.591
52V,647.47,0.024,0.002,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
56CO,655.003,0.043,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
49CR,657.5,0.00013,0.00013,2538.0,42.3,0.705,0.029375
56CO,674.57,0.024,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
57CO,692.41,0.149,0.01,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
FE-53m,701.1,100.0,5.0,152.4,2.54,0.042333333333333334,0.001763888888888889
52V,704.6,0.0018,0.0009,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,704.6,0.028,0.009,1266.0,21.1,0.3516666666666667,0.014652777777777778
57CO,706.54,0.005,0.0005,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
56CO,733.514,0.191,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,744.233,90.0,1.2,483062.4,8051.04,134.184,5.591
51MN,749.07,0.265,0.01325,2772.0,46.2,0.77,0.03208333333333333
56CO,787.743,0.311,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
48V,802.9,0.136,0.012,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,803.7,1.87,0.15,63108.0,1051.8,17.53,0.7304166666666667
51MN,808.19,0.0148,0.0024,2772.0,46.2,0.77,0.03208333333333333
CO-58g,810.7593,99.45,4.9725,6122304.0,102038.4,1700.64,70.86
60CO,826.1,0.0076,0.0008,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
55CO,827.0,0.21,0.06,63108.0,1051.8,17.53,0.7304166666666667
54MN,834.848,99.976,0.001,26961120.0,449352.0,7489.2,312.05
56MN,846.7638,98.85,4.9425,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,846.77,99.9399,4.996995,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,848.18,3.32,0.04,483062.4,8051.04,134.184,5.591
61CO,850.0,0.79,0.07,5940.0,99.0,1.65,0.06875
56CO,852.732,0.049,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
CO-58g,863.951,0.686,0.01,6122304.0,102038.4,1700.64,70.86
56CO,896.51,0.073,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,901.89,0.044,0.004,483062.4,8051.04,134.184,5.591
61CO,917.5,3.6,0.3,5940.0,99.0,1.65,0.06875
48V,928.327,0.783,0.003,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,931.1,75.0,3.75,63108.0,1051.8,17.53,0.7304166666666667
MN-52m,935.52,0.02,0.01,1266.0,21.1,0.3516666666666667,0.014652777777777778
52V,935.52,0.061,0.003,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,935.544,94.5,1.3,483062.4,8051.04,134.184,5.591
48V,938.0,0.00071,0.00015,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
48V,944.13,7.87,0.007,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
56CO,977.372,1.421,0.006,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
48V,983.525,99.98,0.04,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,984.6,0.52,0.1,63108.0,1051.8,17.53,0.7304166666666667
56CO,996.948,0.111,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53m,1011.5,86.0,11.0,152.4,2.54,0.042333333333333334,0.001763888888888889
49CR,1021.3,0.0005,0.0005,2538.0,42.3,0.705,0.029375
49CR,1027.8,0.00013,3e-05,2538.0,42.3,0.705,0.029375
56MN,1037.8333,0.04,0.005,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,1037.843,14.05,0.04,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
52V,1045.72,0.005,0.005,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,1045.75,0.07,0.02,483062.4,8051.04,134.184,5.591
48V,1063.9,0.005,0.001,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
49CR,1064.63,2.7e-05,5e-06,2538.0,42.3,0.705,0.029375
56CO,1088.894,0.055,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
59FE,1099.245,56.5,1.8,3844368.0,64072.8,1067.88,44.495
56CO,1140.368,0.132,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
51MN,1148.0,0.078,0.004,2772.0,46.2,0.77,0.03208333333333333
49CR,1155.33,8e-05,2.1e-05,2538.0,42.3,0.705,0.029375
56CO,1159.944,0.094,0.006,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
51MN,1164.4,0.076,0.004,2772.0,46.2,0.77,0.03208333333333333
60CO,1173.228,99.85,0.03,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
56CO,1175.101,2.252,0.006,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,1198.888,0.049,0.005,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,1212.8,0.26,0.03,63108.0,1051.8,17.53,0.7304166666666667
56MN,1238.2736,0.04,0.004,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,1238.288,66.46,0.12,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
