Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
PT-193m,1.642,0.0321,0.001605,374112.0,6235.2,103.92,4.33
PT-193m,12.634,0.7,0.035,374112.0,6235.2,103.92,4.33
IR-190m2,22.45,0.00198,0.00014,11113.2,185.22,3.087,0.12862500000000002
189IR,25.65,0.024,0.004,1140480.0,19008.0,316.8,13.2
IR-190m1,26.1,0.00010204,5.102e-06,4032.0,67.2,1.12,0.04666666666666667
189IR,30.8,2.4e-05,1.2e-06,1140480.0,19008.0,316.8,13.2
189IR,33.31,0.0068,0.0011,1140480.0,19008.0,316.8,13.2
189IR,36.17,0.67,0.09,1140480.0,19008.0,316.8,13.2
IR-190m2,36.184,2.56,0.21,11113.2,185.22,3.087,0.12862500000000002
IR-190m2,38.9,0.074,0.003,11113.2,185.22,3.087,0.12862500000000002
188PT,41.98,0.52,0.06,881280.0,14688.0,244.8,10.2
188PT,54.85,0.76,0.08,881280.0,14688.0,244.8,10.2
IR-190m2,56.128,1.02,0.09,11113.2,185.22,3.087,0.12862500000000002
189IR,56.5,0.15,0.03,1140480.0,19008.0,316.8,13.2
189IR,59.05,0.06,0.008,1140480.0,19008.0,316.8,13.2
189IR,59.05,1.2,0.17,1140480.0,19008.0,316.8,13.2
189PT,62.65,0.08,0.03,39132.0,652.2,10.87,0.4529166666666667
189IR,69.52,3.5,0.5,1140480.0,19008.0,316.8,13.2
189PT,71.69,0.08,0.03,39132.0,652.2,10.87,0.4529166666666667
189PT,82.22,2.4,0.7,39132.0,652.2,10.87,0.4529166666666667
188PT,92.9,0.0233,0.0025,881280.0,14688.0,244.8,10.2
189PT,94.34,6.5,1.8,39132.0,652.2,10.87,0.4529166666666667
189IR,95.23,0.38,0.05,1140480.0,19008.0,316.8,13.2
188PT,96.7,0.17,0.08,881280.0,14688.0,244.8,10.2
IR-190g,97.93,0.096,0.014,1017792.0,16963.2,282.72,11.78
188PT,98.37,0.34,0.04,881280.0,14688.0,244.8,10.2
192IR,110.33,0.0127,0.0008,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,111.4,0.0017,0.0006,69408.0,1156.8,19.28,0.8033333333333333
189PT,113.82,2.5,0.7,39132.0,652.2,10.87,0.4529166666666667
189PT,130.54,0.06,0.03,39132.0,652.2,10.87,0.4529166666666667
188PT,132.86,0.25,0.06,881280.0,14688.0,244.8,10.2
IR-190m2,135.348,2.81,0.18,11113.2,185.22,3.087,0.12862500000000002
PT-193m,135.5,0.1145475,0.005727375,374112.0,6235.2,103.92,4.33
192IR,136.39,0.199,0.025,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189IR,138.3,0.068,0.01,1140480.0,19008.0,316.8,13.2
188PT,140.35,2.33,0.14,881280.0,14688.0,244.8,10.2
189PT,141.18,3.6,1.0,39132.0,652.2,10.87,0.4529166666666667
189IR,147.1,0.108,0.014,1140480.0,19008.0,316.8,13.2
IR-190m2,148.7,0.0174,0.0016,11113.2,185.22,3.087,0.12862500000000002
189IR,149.9,0.085,0.01,1140480.0,19008.0,316.8,13.2
188IR,155.05,30.0,3.0,149400.0,2490.0,41.5,1.7291666666666667
189IR,164.0,0.074,0.008,1140480.0,19008.0,316.8,13.2
188IR,175.4,0.038,0.006,149400.0,2490.0,41.5,1.7291666666666667
189PT,176.53,0.84,0.23,39132.0,652.2,10.87,0.4529166666666667
192IR,176.98,0.0043,0.001,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189IR,180.5,0.029,0.004,1140480.0,19008.0,316.8,13.2
189PT,181.3,0.09,0.03,39132.0,652.2,10.87,0.4529166666666667
189IR,185.85,0.18,0.03,1140480.0,19008.0,316.8,13.2
IR-190g,186.68,52.0,3.0,1017792.0,16963.2,282.72,11.78
IR-190m2,186.7,64.2,0.6,11113.2,185.22,3.087,0.12862500000000002
189PT,186.7,1.9,0.5,39132.0,652.2,10.87,0.4529166666666667
188PT,187.59,19.4,1.2,881280.0,14688.0,244.8,10.2
189IR,188.6,0.052,0.007,1140480.0,19008.0,316.8,13.2
IR-190g,190.52,0.13,0.03,1017792.0,16963.2,282.72,11.78
189PT,190.83,0.09,0.03,39132.0,652.2,10.87,0.4529166666666667
188PT,195.05,18.6,1.2,881280.0,14688.0,244.8,10.2
IR-190g,196.85,3.4,0.4,1017792.0,16963.2,282.72,11.78
189IR,197.4,0.26,0.03,1140480.0,19008.0,316.8,13.2
188PT,197.8,0.03,0.03,881280.0,14688.0,244.8,10.2
IR-190g,198.08,1.94,0.24,1017792.0,16963.2,282.72,11.78
IR-190g,199.3,0.23,0.07,1017792.0,16963.2,282.72,11.78
192IR,201.3112,0.471,0.006,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,202.91,0.003,0.0008,69408.0,1156.8,19.28,0.8033333333333333
