half life (s),I (%),dI
1115.4,5.2,0.3
39132.0,6.5,1.8
1140480.0,0.38,0.05
244512.0,3.4848,0.0084
1115.4,11.5,0.5
39132.0,2.5,0.7
11520.0,11.1,1.1
321261.12,0.603,0.008
86400.0,10.36,0.2
374112.0,0.1145475,0.03
6378825.6,0.199,0.025
321261.12,9.47,0.03
87480.0,1.24,0.21
87480.0,0.79,0.13
244512.0,1.1,0.0024
87480.0,1.9,0.3
877824.0,18.336,0.955
6378825.6,0.471,0.006
6378825.6,3.31,0.03
630.0,43.0,5.0
1140480.0,0.3,0.03
39132.0,5.9,1.8
440640.0,27.2,1.7
642.0,100.0,1.0
244512.0,20.6,2.0
6378825.6,0.266,0.003
1017792.0,1.64,0.14
69408.0,2.5,0.3
1017792.0,6.6,0.7
6378825.6,28.71,0.07
39132.0,3.2,0.9
69408.0,0.35,0.05
6378825.6,29.7,0.07
6378825.6,82.86,0.0
39132.0,2.8,0.7
14774400.0,55.0,3.0
244512.0,3.74,0.0072
440640.0,11.6,0.7
244512.0,72.9,1.6
6378825.6,0.727,0.007
1017792.0,2.03,0.11
877824.0,7.3535,0.382
14774400.0,35.0,2.0
1017792.0,4.6,0.7
244512.0,8.8,0.003
6378825.6,0.67,0.021
642.0,100.8,2.0
877824.0,4.2975,0.2292
1017792.0,2.74,0.18
186.0,16.7,1.5
244512.0,3.696,0.012
6378825.6,47.84,0.03
877824.0,1.7572,0.2865
86400.0,26.4,0.4
14774400.0,97.0,5.0
6378825.6,3.19,0.03
6378825.6,0.438,0.015
630.0,38.0,5.0
244512.0,15.928,0.03
39132.0,4.9,1.3
14774400.0,35.0,2.0
87480.0,0.5,0.09
6378825.6,4.522,0.01
69408.0,0.14,0.019
14774400.0,62.0,3.0
6378825.6,8.216,0.019
6378825.6,5.34,0.07
86400.0,7.57,0.12
69408.0,0.33,0.04
244512.0,1.628,0.0036
69408.0,1.18,0.16
11520.0,9.4,0.6
86400.0,33.2,0.5
14774400.0,59.0,3.0
39132.0,7.9,2.1
1017792.0,3.78,0.16
61218.0,0.0188,0.0012
149400.0,5.1,0.5
186.0,7.9,0.6
642.0,12.6,0.9
6378825.6,0.292,0.007
61218.0,0.595,0.005
69408.0,0.6,0.08
1017792.0,2.42,0.16
6378825.6,0.0531,0.0006
69408.0,0.6,0.08
69408.0,0.31,0.04
186.0,3.12,0.4
149400.0,6.9,0.7
186.0,1.32,0.19
69408.0,0.19,0.03
149400.0,6.2,0.6
149400.0,7.0,0.6
149400.0,18.6,1.5
1140480.0,6.0,0.6
877824.0,19.1,0.955
374112.0,4.25,0.09
374112.0,7.21,0.15
374112.0,2.522,0.32
1140500.0,0.52,0.06
1140500.0,0.53,0.06
1140500.0,6.0,0.6
87480.0,5.5,0.9
87480.0,4.5,0.7
87480.0,3.5,0.7
61218.0,15.49,0.06
1330560.0,26.5,0.04
11113.0,64.2,0.6
11113.0,86.72,0.21
11113.0,89.38,0.2
11113.0,90.14,0.2
108396.0,4.27,0.2
108396.0,3.95,0.2
108396.0,3.2,0.5
108396.0,1.3,0.12
108396.0,1.28,0.06
108396.0,1.26,0.06
108396.0,1.24,0.06
