half life (s),I (%),dI
33094.8,25.5,2.4
5936.4,84.7,0.384
23478336.0,85.6,0.17
33058.8,2.52,0.23
2308.2,0.0053,0.0008
33058.8,1.9,1.8
33058.8,1.35,1.3
12020.4,12.2,2.2
33058.8,0.29,0.03
3844368.0,0.27,0.011
33058.8,2.24,0.17
33058.8,2.24,0.17
2308.2,0.236,0.019
33058.8,15.3,1.4
23478336.0,0.0158,0.001
33058.8,26.0,2.0
33058.8,0.25,0.03
12020.4,10.8,2.0
2308.2,8.2,0.3
483062.4,90.0,1.2
6122304.0,99.45,0.01
6673190.4,501.0,0.0023
483062.4,94.5,1.3
2308.2,6.5,0.4
6673190.4,14.05,0.04
3844368.0,56.6,1.8
21075552.0,50.04,0.1
2308.2,0.111,0.012
166344192.0,99.85,3.0
12020.4,370.0,70.0
6673190.4,66.46,0.12
3844368.0,43.2,1.4
166344192.0,99.9826,0.06
483062.4,5.07,0.07
45723.6,0.475,0.011
128160.0,81.7,2.4
2308.2,0.097,0.015
2308.2,0.75,0.04
483062.4,100.0,1.4
9061.884,23.59,0.14
2308.2,0.122,0.007
6673190.4,15.41,0.06
2308.2,0.056,0.006
6673190.4,7.77,0.03
2308.2,0.075,0.006
2308.2,0.066,0.007
6673190.4,16.97,0.04
9282.6,98.9,0.0
26983000.0,99.976,0.001
