0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408
91.9,10624941.667092828,6.5,126.0,2458540.550694444,4500.0,63108.0,1.16,0.09,9278958.057083683,5.9,126.0,2458540.6145833335,4500.0,63108.0,1.16,0.09,9017781.711062046,5.8,126.0,2458540.675,4500.0,63108.0,1.16,0.09,8532446.138927348,5.4,126.0,2458540.7333333334,4500.0,63108.0,1.16,0.09,7603933.381220504,6.3,126.0,2458540.790972222,4500.0,63108.0,1.16,0.09,7827064.354002769,5.2,126.0,2458540.847916667,4500.0,63108.0,1.16,0.09,5481618.506462002,6.3,126.0,2458540.904166667,3300.0,63108.0,1.16,0.09,10356226.562635738,5.8,226.0,2458540.550694444,6000.0,63108.0,1.16,0.09,9062207.29787856,5.0,226.0,2458540.634722222,6000.0,63108.0,1.16,0.09,8468139.445017966,4.6,226.0,2458540.7138888887,6000.0,63108.0,1.16,0.09,8183068.324536447,4.5,226.0,2458540.790972222,6000.0,63108.0,1.16,0.09,7778369.144567149,4.4,226.0,2458540.8666666667,6300.0,63108.0,1.16,0.09,5790237.964977388,6.5,326.0,2458540.550694444,4500.0,63108.0,1.16,0.09,5396592.935873085,5.9,326.0,2458540.6145833335,4500.0,63108.0,1.16,0.09,4910697.306786029,5.4,326.0,2458540.675,4500.0,63108.0,1.16,0.09,4745408.750767594,5.1,326.0,2458540.7333333334,4500.0,63108.0,1.16,0.09,4323194.978140194,5.1,326.0,2458540.790972222,4500.0,63108.0,1.16,0.09,4366015.847575022,4.6,326.0,2458540.847916667,4500.0,63108.0,1.16,0.09,2800484.861037725,6.1,326.0,2458540.904166667,3300.0,63108.0,1.16,0.09,672918.1091609392,35.0,326.0,2458542.992361111,3902.0,63108.0,1.16,0.09,804764.8336035138,6.0,126.0,2458543.222222222,4351.0,63108.0,1.16,0.09,503680.85981109337,4.7,126.0,2458541.007638889,359.0,63108.0,1.16,0.09,446142.5759085799,4.6,226.0,2458541.013888889,403.0,63108.0,1.16,0.09,497010.86486664234,48.8,126.0,2458543.9381944444,3793.0,63108.0,1.16,0.09,238727.38227444026,6.4,326.0,2458541.019444444,327.0,63108.0,1.16,0.09,366552.1378766545,27.9,226.0,2458543.9381944444,3875.0,63108.0,1.16,0.09,231330.24046280255,48.8,326.0,2458543.9381944444,3940.0,63108.0,1.16,0.09,517227.60078543774,13.6,126.0,2458542.4604166667,1194.0,63108.0,1.16,0.09,398742.5758425639,20.2,226.0,2458542.476388889,1212.0,63108.0,1.16,0.09,213997.47044045274,28.2,326.0,2458542.476388889,1216.0,63108.0,1.16,0.09,1847417.4626850304,31.1,126.0,2458546.9,85440.0,63108.0,1.16,0.09,851088.3298513255,13.6,126.0,2458542.9916666667,3761.0,63108.0,1.16,0.09,752394.4952165193,11.3,226.0,2458542.9916666667,3859.0,63108.0,1.16,0.09,443216.803621141,33.8,326.0,2458546.9,84889.0,63108.0,1.16,0.09,2036060.5436814947,39.0,226.0,2458546.9,85534.0,63108.0,1.16,0.09,3947720.9533613017,26.0,126.0,2458553.8798611113,85977.0,63108.0,1.16,0.09,1671781.5721586961,31.0,226.0,2458553.8798611113,85957.0,63108.0,1.16,0.09,1752321.0992011807,41.6,326.0,2458553.8798611113,86074.0,63108.0,1.16,0.09,549327.332797104,18.0,226.0,2458543.273611111,3852.0,63108.0,1.16,0.09,330825.25503807113,35.1,326.0,2458543.273611111,3724.0,63108.0,1.16,0.09,1409184.1621623083,27.8,226.0,2458559.4430555557,80330.0,63108.0,1.16,0.09,361578.8263364136,47.1,126.0,2458559.4430555557,80151.0,63108.0,1.16,0.09,1750219.1846462458,42.1,326.0,2458559.4430555557,80424.0,63108.0,1.16,0.09,15239920.169255218,15.2,126.0,2458565.2472222224,339315.0,63108.0,1.16,0.09,8122029.534055399,16.8,226.0,2458565.2472222224,339012.0,63108.0,1.16,0.09,868278.7966549235,2.4,126.0,2458542.103472222,1743.0,63108.0,1.16,0.09,666676.856366163,2.5,226.0,2458542.129166667,1719.0,63108.0,1.16,0.09,6428922.894179801,21.7,326.0,2458565.2472222224,339239.0,63108.0,1.16,0.09,468648.0584862808,2.6,326.0,2458542.152083333,1853.0,63108.0,1.16,0.09,155325.90200555942,51.5,126.0,2458556.038888889,160289.0,63108.0,1.16,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.06065,2496106.8769124537,28.9,126.0,2458540.550694444,4500.0,23454144.0,85.6,0.17,2585809.2875972427,21.6,126.0,2458540.6145833335,4500.0,23454144.0,85.6,0.17,2583978.626154696,20.0,126.0,2458540.675,4500.0,23454144.0,85.6,0.17,2485122.908257173,19.6,126.0,2458540.7333333334,4500.0,23454144.0,85.6,0.17,2446679.017963692,17.8,126.0,2458540.790972222,4500.0,23454144.0,85.6,0.17,2459493.648061519,17.1,126.0,2458540.847916667,4500.0,23454144.0,85.6,0.17,1856301.2727966998,20.6,126.0,2458540.904166667,3300.0,23454144.0,85.6,0.17,3550519.0825350103,15.2,226.0,2458540.550694444,6000.0,23454144.0,85.6,0.17,3622179.5165378107,12.3,226.0,2458540.634722222,6000.0,23454144.0,85.6,0.17,3318775.774053936,11.5,226.0,2458540.7138888887,6000.0,23454144.0,85.6,0.17,3660217.546773606,10.0,226.0,2458540.790972222,6000.0,23454144.0,85.6,0.17,3577487.2573051145,9.3,226.0,2458540.8666666667,6300.0,23454144.0,85.6,0.17,3021941.110700865,11.6,326.0,2458540.550694444,4500.0,23454144.0,85.6,0.17,2982350.6840407033,9.6,326.0,2458540.6145833335,4500.0,23454144.0,85.6,0.17,3119956.244665342,8.5,326.0,2458540.675,4500.0,23454144.0,85.6,0.17,3205287.0671755928,7.5,326.0,2458540.7333333334,4500.0,23454144.0,85.6,0.17,3214512.0209604846,6.8,326.0,2458540.790972222,4500.0,23454144.0,85.6,0.17,3401469.609289536,6.4,326.0,2458540.847916667,4500.0,23454144.0,85.6,0.17,2310466.5500410707,7.5,326.0,2458540.904166667,3300.0,23454144.0,85.6,0.17,2662667.7217600583,8.4,326.0,2458542.992361111,3902.0,23454144.0,85.6,0.17,2382359.01325775,2.6,126.0,2458543.222222222,4351.0,23454144.0,85.6,0.17,180179.35909069589,11.8,126.0,2458541.007638889,359.0,23454144.0,85.6,0.17,257960.9275714574,9.3,226.0,2458541.013888889,403.0,23454144.0,85.6,0.17,2160180.50220513,10.2,126.0,2458543.9381944444,3793.0,23454144.0,85.6,0.17,242154.307117262,7.3,326.0,2458541.019444444,327.0,23454144.0,85.6,0.17,2522279.409758104,4.6,226.0,2458543.9381944444,3875.0,23454144.0,85.6,0.17,2577884.857005261,5.3,326.0,2458543.9381944444,3940.0,23454144.0,85.6,0.17,610393.7036841873,11.6,126.0,2458542.4604166667,1194.0,23454144.0,85.6,0.17,715086.2836937425,11.1,226.0,2458542.476388889,1212.0,23454144.0,85.6,0.17,857602.2029728263,6.5,326.0,2458542.476388889,1216.0,23454144.0,85.6,0.17,48519176.98251667,1.1,126.0,2458546.9,85440.0,23454144.0,85.6,0.17,2147103.9406319824,6.1,126.0,2458542.9916666667,3761.0,23454144.0,85.6,0.17,2387502.342856026,4.9,226.0,2458542.9916666667,3859.0,23454144.0,85.6,0.17,56937793.584051915,0.4,326.0,2458546.9,84889.0,23454144.0,85.6,0.17,49751987.60533478,1.2,226.0,2458546.9,85534.0,23454144.0,85.6,0.17,47369280.156617664,1.9,126.0,2458553.8798611113,85977.0,23454144.0,85.6,0.17,52843713.95521706,1.0,226.0,2458553.8798611113,85957.0,23454144.0,85.6,0.17,55001414.543256246,1.1,326.0,2458553.8798611113,86074.0,23454144.0,85.6,0.17,2373900.2785184328,4.5,226.0,2458543.273611111,3852.0,23454144.0,85.6,0.17,2543326.3054196895,4.8,326.0,2458543.273611111,3724.0,23454144.0,85.6,0.17,48497183.085734494,1.0,226.0,2458559.4430555557,80330.0,23454144.0,85.6,0.17,42031034.962423675,0.5,126.0,2458559.4430555557,80151.0,23454144.0,85.6,0.17,50461773.182525136,1.1,326.0,2458559.4430555557,80424.0,23454144.0,85.6,0.17,180624041.89031473,1.1,126.0,2458565.2472222224,339315.0,23454144.0,85.6,0.17,200239849.3866588,0.5,226.0,2458565.2472222224,339012.0,23454144.0,85.6,0.17,1036843.3289304938,2.3,126.0,2458542.103472222,1743.0,23454144.0,85.6,0.17,1145757.6600574325,2.0,226.0,2458542.129166667,1719.0,23454144.0,85.6,0.17,208435552.2096948,0.8,326.0,2458565.2472222224,339239.0,23454144.0,85.6,0.17,1412446.0953487605,1.4,326.0,2458542.152083333,1853.0,23454144.0,85.6,0.17,88026422.57237768,0.2,126.0,2458556.038888889,160289.0,23454144.0,85.6,0.17,95217651.46853867,0.4,226.0,2458556.038888889,159931.0,23454144.0,85.6,0.17
136.47356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426903.43523414445,52.1,326.0,2458540.790972222,4500.0,23454144.0,10.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459986.9776502359,45.2,326.0,2458542.992361111,3902.0,23454144.0,10.68,0.08,307589.1639752112,16.9,126.0,2458543.222222222,4351.0,23454144.0,10.68,0.08,35649.98075514673,56.2,126.0,2458541.007638889,359.0,23454144.0,10.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219662.91591819897,43.9,226.0,2458543.9381944444,3875.0,23454144.0,10.68,0.08,312291.5055800535,39.9,326.0,2458543.9381944444,3940.0,23454144.0,10.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107955.66179148034,51.9,326.0,2458542.476388889,1216.0,23454144.0,10.68,0.08,6007362.570976459,7.1,126.0,2458546.9,85440.0,23454144.0,10.68,0.08,282683.8640231681,41.4,126.0,2458542.9916666667,3761.0,23454144.0,10.68,0.08,271566.1331322854,34.5,226.0,2458542.9916666667,3859.0,23454144.0,10.68,0.08,7263210.69401957,2.2,326.0,2458546.9,84889.0,23454144.0,10.68,0.08,6367984.590446571,8.5,226.0,2458546.9,85534.0,23454144.0,10.68,0.08,5864311.823848286,13.8,126.0,2458553.8798611113,85977.0,23454144.0,10.68,0.08,6346162.546103162,6.7,226.0,2458553.8798611113,85957.0,23454144.0,10.68,0.08,7357292.233097446,7.2,326.0,2458553.8798611113,86074.0,23454144.0,10.68,0.08,287929.73346205126,31.3,226.0,2458543.273611111,3852.0,23454144.0,10.68,0.08,332567.0229965929,30.0,326.0,2458543.273611111,3724.0,23454144.0,10.68,0.08,6449396.354644223,6.1,226.0,2458559.4430555557,80330.0,23454144.0,10.68,0.08,5296995.012001996,2.8,126.0,2458559.4430555557,80151.0,23454144.0,10.68,0.08,6258968.518875618,8.1,326.0,2458559.4430555557,80424.0,23454144.0,10.68,0.08,23446277.70999118,6.5,126.0,2458565.2472222224,339315.0,23454144.0,10.68,0.08,24963564.912732,3.0,226.0,2458565.2472222224,339012.0,23454144.0,10.68,0.08,110807.05304954776,14.8,126.0,2458542.103472222,1743.0,23454144.0,10.68,0.08,134557.85281035982,10.6,226.0,2458542.129166667,1719.0,23454144.0,10.68,0.08,27715234.01256101,3.4,326.0,2458565.2472222224,339239.0,23454144.0,10.68,0.08,174079.59239662418,6.8,326.0,2458542.152083333,1853.0,23454144.0,10.68,0.08,11513931.575776221,1.0,126.0,2458556.038888889,160289.0,23454144.0,10.68,0.08,11932381.02331002,1.2,226.0,2458556.038888889,159931.0,23454144.0,10.68,0.08
263.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269944.5319727668,40.1,226.0,2458556.038888889,159931.0,6673190.4,0.022,0.0003
320.0824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197326.0834679692,59.6,226.0,2458540.7138888887,6000.0,2393625.6,9.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163171.9529106037,55.7,226.0,2458540.8666666667,6300.0,2393625.6,9.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733290.0262596812,55.9,326.0,2458540.675,4500.0,2393625.6,9.91,0.01,854746.1750250353,43.1,326.0,2458540.7333333334,4500.0,2393625.6,9.91,0.01,644291.1330310685,56.8,326.0,2458540.790972222,4500.0,2393625.6,9.91,0.01,953885.573578465,36.1,326.0,2458540.847916667,4500.0,2393625.6,9.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473345.50990124664,52.3,326.0,2458542.992361111,3902.0,2393625.6,9.91,0.01,530475.3806714384,17.0,126.0,2458543.222222222,4351.0,2393625.6,9.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484588.0630607447,53.2,126.0,2458543.9381944444,3793.0,2393625.6,9.91,0.01,53739.56164964639,55.5,326.0,2458541.019444444,327.0,2393625.6,9.91,0.01,598652.8599169004,22.3,226.0,2458543.9381944444,3875.0,2393625.6,9.91,0.01,627044.5863007011,28.7,326.0,2458543.9381944444,3940.0,2393625.6,9.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259809.28578889332,43.0,226.0,2458542.476388889,1212.0,2393625.6,9.91,0.01,150427.54375923655,54.1,326.0,2458542.476388889,1216.0,2393625.6,9.91,0.01,9691793.30767709,5.9,126.0,2458546.9,85440.0,2393625.6,9.91,0.01,408151.3238832803,47.3,126.0,2458542.9916666667,3761.0,2393625.6,9.91,0.01,607773.831548808,24.8,226.0,2458542.9916666667,3859.0,2393625.6,9.91,0.01,11495845.742362443,2.0,326.0,2458546.9,84889.0,2393625.6,9.91,0.01,11565963.627813157,5.6,226.0,2458546.9,85534.0,2393625.6,9.91,0.01,8498324.972925512,10.1,126.0,2458553.8798611113,85977.0,2393625.6,9.91,0.01,9800563.465272356,4.8,226.0,2458553.8798611113,85957.0,2393625.6,9.91,0.01,9928879.398708628,5.1,326.0,2458553.8798611113,86074.0,2393625.6,9.91,0.01,544175.3579966687,25.2,226.0,2458543.273611111,3852.0,2393625.6,9.91,0.01,504943.11547882244,28.3,326.0,2458543.273611111,3724.0,2393625.6,9.91,0.01,7766512.960294222,5.7,226.0,2458559.4430555557,80330.0,2393625.6,9.91,0.01,6892650.6857047845,2.9,126.0,2458559.4430555557,80151.0,2393625.6,9.91,0.01,8480003.125113118,6.2,326.0,2458559.4430555557,80424.0,2393625.6,9.91,0.01,23475480.489726495,6.1,126.0,2458565.2472222224,339315.0,2393625.6,9.91,0.01,27219307.86074517,2.9,226.0,2458565.2472222224,339012.0,2393625.6,9.91,0.01,209339.52689327247,16.7,126.0,2458542.103472222,1743.0,2393625.6,9.91,0.01,258671.6608513827,11.0,226.0,2458542.129166667,1719.0,2393625.6,9.91,0.01,28260404.892049808,4.9,326.0,2458565.2472222224,339239.0,2393625.6,9.91,0.01,332118.3784793138,8.0,326.0,2458542.152083333,1853.0,2393625.6,9.91,0.01,15265194.5902047,1.2,126.0,2458556.038888889,160289.0,2393625.6,9.91,0.01,15607631.020823857,1.3,226.0,2458556.038888889,159931.0,2393625.6,9.91,0.01
346.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420575.7692331928,18.1,126.0,2458543.222222222,4351.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173101.18780612398,49.7,126.0,2458542.4604166667,1194.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5571944.323297999,8.5,126.0,2458546.9,85440.0,483062.4,0.98,0.014,321388.1846906233,48.1,126.0,2458542.9916666667,3761.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351604.71788734564,56.4,326.0,2458546.9,84889.0,483062.4,0.98,0.014,1342650.2857509092,38.6,226.0,2458546.9,85534.0,483062.4,0.98,0.014,2736389.1051389705,27.5,126.0,2458553.8798611113,85977.0,483062.4,0.98,0.014,973289.031246213,41.4,226.0,2458553.8798611113,85957.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213103.67067409403,49.0,226.0,2458543.273611111,3852.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991253.0777284051,16.7,126.0,2458559.4430555557,80151.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167799.26545243003,18.3,126.0,2458542.103472222,1743.0,483062.4,0.98,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154917.4323753924,5.6,126.0,2458556.038888889,160289.0,483062.4,0.98,0.014,855182.5247530143,19.3,226.0,2458556.038888889,159931.0,483062.4,0.98,0.014
