half life (s),I (%),dI
63108.0,1.16,0.09
23454144.0,85.6,0.17
23454144.0,10.68,0.08
6673190.4,0.022,0.0003
2393625.6,9.91,0.01
483062.4,0.98,0.014
510.6,42.0,3.0
63108.0,20.2,1.7
6673190.4,0.054,0.002
6673190.4,0.191,0.003
483062.4,90.0,1.2
2772.0,0.265,0.007
6673190.4,0.311,0.003
63108.0,1.87,0.15
6122304.0,99.45,0.01
63108.0,0.21,0.06
26974080.0,99.976,0.001
6673190.4,99.9399,0.0023
483062.4,3.32,0.4
6673190.4,0.049,0.003
6673190.4,0.073,0.003
63108.0,75.0,4.0
483062.4,94.5,1.3
1380110.4,7.87,0.007
6673190.4,1.421,0.006
1380110.4,99.98,0.04
6673190.4,0.111,0.004
6673190.4,14.05,0.04
3843936.0,56.5,0.9
6673190.4,0.132,0.003
6673190.4,0.094,0.006
6673190.4,2.252,0.006
6673190.4,0.049,0.005
6673190.4,66.46,0.12
483062.4,4.21,0.07
3843936.0,43.2,0.9
1380110.4,98.2,0.3
63108.0,7.1,0.3
483062.4,5.07,0.07
6673190.4,0.1224,0.0012
6673190.4,4.283,0.012
63108.0,2.9,0.3
63108.0,16.9,0.8
1266.0,98.2,0.5
483062.4,100.0,14.0
6673190.4,15.41,0.06
6673190.4,0.707,0.004
6673190.4,3.016,0.012
6673190.4,7.77,0.03
63108.0,0.29,0.04
6673190.4,0.388,0.004
6673190.4,0.118,0.004
6673190.4,16.97,0.04
63108.0,0.118,0.008
63108.0,0.057,0.01
63108.0,0.057,0.01
9284.0,98.85,0.03
9284.0,26.9,0.4
9284.0,14.2,0.3
