natCu(d,x)63Zn					
					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
21.9	193.05	8.48	5.81E+03	1.57E+02	3.55E+03
22.0	191.19	8.40	5.86E+03	1.58E+02	3.58E+03
22.1	189.35	8.32	5.90E+03	1.60E+02	3.61E+03
22.2	187.52	8.24	5.95E+03	1.61E+02	3.64E+03
22.3	185.72	8.16	6.00E+03	1.62E+02	3.67E+03
22.4	183.93	8.08	6.05E+03	1.63E+02	3.69E+03
22.5	182.16	8.01	6.09E+03	1.65E+02	3.72E+03
22.6	180.41	7.93	6.14E+03	1.66E+02	3.75E+03
22.7	178.68	7.85	6.18E+03	1.67E+02	3.78E+03
22.8	176.97	7.78	6.23E+03	1.68E+02	3.81E+03
22.9	175.27	7.70	6.28E+03	1.70E+02	3.84E+03
23.0	173.60	7.63	6.32E+03	1.71E+02	3.86E+03
23.1	171.95	7.56	6.37E+03	1.72E+02	3.89E+03
23.2	170.31	7.48	6.41E+03	1.73E+02	3.92E+03
23.3	168.69	7.41	6.45E+03	1.74E+02	3.94E+03
23.4	167.10	7.34	6.50E+03	1.76E+02	3.97E+03
23.5	165.52	7.27	6.54E+03	1.77E+02	4.00E+03
23.6	163.96	7.21	6.59E+03	1.78E+02	4.02E+03
23.7	162.42	7.14	6.63E+03	1.79E+02	4.05E+03
23.8	160.89	7.07	6.67E+03	1.80E+02	4.08E+03
23.9	159.39	7.00	6.71E+03	1.81E+02	4.10E+03
24.0	157.90	6.94	6.76E+03	1.83E+02	4.13E+03
24.1	156.43	6.87	6.80E+03	1.84E+02	4.16E+03
24.2	154.98	6.81	6.84E+03	1.85E+02	4.18E+03
24.3	153.55	6.75	6.88E+03	1.86E+02	4.21E+03
24.4	152.13	6.69	6.92E+03	1.87E+02	4.23E+03
24.5	150.73	6.62	6.96E+03	1.88E+02	4.26E+03
24.6	149.35	6.56	7.01E+03	1.89E+02	4.28E+03
24.7	147.98	6.50	7.05E+03	1.90E+02	4.31E+03
24.8	146.64	6.44	7.09E+03	1.92E+02	4.33E+03
24.9	145.30	6.39	7.13E+03	1.93E+02	4.36E+03
25.0	143.99	6.24	7.17E+03	1.94E+02	4.38E+03
25.1	142.69	6.18	7.21E+03	1.95E+02	4.40E+03
25.2	141.41	6.12	7.24E+03	1.96E+02	4.43E+03
25.3	140.14	6.07	7.28E+03	1.97E+02	4.45E+03
25.4	138.90	6.02	7.32E+03	1.98E+02	4.48E+03
25.5	137.66	5.96	7.36E+03	1.99E+02	4.50E+03
25.6	136.44	5.91	7.40E+03	2.00E+02	4.52E+03
25.7	135.24	5.86	7.44E+03	2.01E+02	4.55E+03
25.8	134.05	5.81	7.48E+03	2.02E+02	4.57E+03
25.9	132.88	5.75	7.51E+03	2.03E+02	4.59E+03
26.0	131.72	5.70	7.55E+03	2.04E+02	4.62E+03
26.1	130.58	5.65	7.59E+03	2.05E+02	4.64E+03
26.2	129.45	5.61	7.63E+03	2.06E+02	4.66E+03
26.3	128.33	5.56	7.66E+03	2.07E+02	4.68E+03
26.4	127.23	5.51	7.70E+03	2.08E+02	4.71E+03
26.5	126.14	5.46	7.74E+03	2.09E+02	4.73E+03
26.6	125.07	5.42	7.77E+03	2.10E+02	4.75E+03
26.7	124.01	5.37	7.81E+03	2.11E+02	4.77E+03
26.8	122.96	5.33	7.84E+03	2.12E+02	4.79E+03
26.9	121.93	5.28	7.88E+03	2.13E+02	4.82E+03
27.0	120.91	5.24	7.92E+03	2.14E+02	4.84E+03
27.1	119.90	5.19	7.95E+03	2.15E+02	4.86E+03
27.2	118.91	5.15	7.99E+03	2.16E+02	4.88E+03
27.3	117.93	5.11	8.02E+03	2.17E+02	4.90E+03
27.4	116.96	5.07	8.06E+03	2.18E+02	4.92E+03
27.5	116.00	5.02	8.09E+03	2.19E+02	4.94E+03
27.6	115.06	4.98	8.12E+03	2.20E+02	4.97E+03
27.7	114.13	4.94	8.16E+03	2.20E+02	4.99E+03
27.8	113.21	4.90	8.19E+03	2.21E+02	5.01E+03
27.9	112.30	4.86	8.23E+03	2.22E+02	5.03E+03
28.0	111.40	4.82	8.26E+03	2.23E+02	5.05E+03
28.1	110.51	4.79	8.29E+03	2.24E+02	5.07E+03
28.2	109.64	4.75	8.33E+03	2.25E+02	5.09E+03
28.3	108.78	4.71	8.36E+03	2.26E+02	5.11E+03
28.4	107.92	4.67	8.39E+03	2.27E+02	5.13E+03
28.5	107.08	4.64	8.42E+03	2.28E+02	5.15E+03
28.6	106.25	4.60	8.46E+03	2.29E+02	5.17E+03
28.7	105.43	4.57	8.49E+03	2.29E+02	5.19E+03
28.8	104.62	4.53	8.52E+03	2.30E+02	5.21E+03
28.9	103.82	4.50	8.55E+03	2.31E+02	5.23E+03
29.0	103.03	4.46	8.58E+03	2.32E+02	5.25E+03
29.1	102.25	4.43	8.62E+03	2.33E+02	5.27E+03
29.2	101.48	4.39	8.65E+03	2.34E+02	5.29E+03
29.3	100.72	4.36	8.68E+03	2.35E+02	5.30E+03
29.4	99.97	4.33	8.71E+03	2.35E+02	5.32E+03
29.5	99.23	4.30	8.74E+03	2.36E+02	5.34E+03
29.6	98.50	4.27	8.77E+03	2.37E+02	5.36E+03
29.7	97.78	4.23	8.80E+03	2.38E+02	5.38E+03
29.8	97.07	4.20	8.83E+03	2.39E+02	5.40E+03
29.9	96.36	4.17	8.86E+03	2.40E+02	5.42E+03
30.0	95.67	4.15	8.89E+03	2.40E+02	5.44E+03
30.1	94.99	4.12	8.92E+03	2.41E+02	5.45E+03
30.2	94.31	4.09	8.95E+03	2.42E+02	5.47E+03
30.3	93.64	4.06	8.98E+03	2.43E+02	5.49E+03
30.4	92.99	4.03	9.01E+03	2.44E+02	5.51E+03
30.5	92.34	4.01	9.04E+03	2.44E+02	5.53E+03
30.6	91.70	3.98	9.07E+03	2.45E+02	5.54E+03
30.7	91.06	3.95	9.10E+03	2.46E+02	5.56E+03
30.8	90.44	3.92	9.13E+03	2.47E+02	5.58E+03
30.9	89.83	3.90	9.15E+03	2.47E+02	5.60E+03
31.0	89.22	3.87	9.18E+03	2.48E+02	5.61E+03
31.1	88.62	3.84	9.21E+03	2.49E+02	5.63E+03
31.2	88.03	3.82	9.24E+03	2.50E+02	5.65E+03
31.3	87.45	3.79	9.27E+03	2.50E+02	5.66E+03
31.4	86.88	3.77	9.29E+03	2.51E+02	5.68E+03
31.5	86.31	3.74	9.32E+03	2.52E+02	5.70E+03
31.6	85.75	3.72	9.35E+03	2.53E+02	5.72E+03
31.7	85.20	3.70	9.38E+03	2.53E+02	5.73E+03
31.8	84.66	3.67	9.41E+03	2.54E+02	5.75E+03
31.9	84.13	3.65	9.43E+03	2.55E+02	5.77E+03
32.0	83.60	3.63	9.46E+03	2.56E+02	5.78E+03
32.1	83.08	3.60	9.49E+03	2.56E+02	5.80E+03
32.2	82.57	3.58	9.51E+03	2.57E+02	5.82E+03
32.3	82.07	3.56	9.54E+03	2.58E+02	5.83E+03
32.4	81.57	3.54	9.57E+03	2.59E+02	5.85E+03
32.5	81.08	3.52	9.59E+03	2.59E+02	5.86E+03
32.6	80.60	3.50	9.62E+03	2.60E+02	5.88E+03
32.7	80.13	3.48	9.65E+03	2.61E+02	5.90E+03
32.8	79.66	3.46	9.67E+03	2.61E+02	5.91E+03
32.9	79.21	3.44	9.70E+03	2.62E+02	5.93E+03
33.0	78.75	3.42	9.73E+03	2.63E+02	5.95E+03
33.1	78.31	3.40	9.75E+03	2.64E+02	5.96E+03
33.2	77.87	3.38	9.78E+03	2.64E+02	5.98E+03
33.3	77.44	3.36	9.81E+03	2.65E+02	5.99E+03
33.4	77.02	3.34	9.83E+03	2.66E+02	6.01E+03
33.5	76.61	3.32	9.86E+03	2.66E+02	6.03E+03
33.6	76.20	3.31	9.88E+03	2.67E+02	6.04E+03
33.7	75.80	3.29	9.91E+03	2.68E+02	6.06E+03
33.8	75.40	3.27	9.94E+03	2.69E+02	6.07E+03
33.9	75.01	3.25	9.96E+03	2.69E+02	6.09E+03
34.0	74.63	3.24	9.99E+03	2.70E+02	6.10E+03
34.1	74.25	3.22	1.00E+04	2.71E+02	6.12E+03
34.2	73.89	3.21	1.00E+04	2.71E+02	6.14E+03
34.3	73.52	3.19	1.01E+04	2.72E+02	6.15E+03
34.4	73.17	3.17	1.01E+04	2.73E+02	6.17E+03
34.5	72.82	3.16	1.01E+04	2.73E+02	6.18E+03
34.6	72.48	3.14	1.01E+04	2.74E+02	6.20E+03
34.7	72.14	3.13	1.02E+04	2.75E+02	6.21E+03
34.8	71.82	3.12	1.02E+04	2.75E+02	6.23E+03
34.9	71.50	3.10	1.02E+04	2.76E+02	6.24E+03
35.0	71.18	3.27	1.02E+04	2.77E+02	6.26E+03
35.1	70.87	3.25	1.03E+04	2.77E+02	6.28E+03
35.2	70.57	3.24	1.03E+04	2.78E+02	6.29E+03
35.3	70.28	3.23	1.03E+04	2.79E+02	6.31E+03
35.4	69.99	3.21	1.03E+04	2.80E+02	6.32E+03
35.5	69.71	3.20	1.04E+04	2.80E+02	6.34E+03
35.6	69.44	3.19	1.04E+04	2.81E+02	6.35E+03
35.7	69.17	3.17	1.04E+04	2.82E+02	6.37E+03
35.8	68.91	3.16	1.04E+04	2.82E+02	6.38E+03
35.9	68.66	3.15	1.05E+04	2.83E+02	6.40E+03
36.0	68.41	3.14	1.05E+04	2.84E+02	6.41E+03
36.1	68.17	3.13	1.05E+04	2.84E+02	6.43E+03
36.2	67.94	3.12	1.05E+04	2.85E+02	6.44E+03
36.3	67.71	3.11	1.06E+04	2.86E+02	6.46E+03
36.4	67.49	3.10	1.06E+04	2.86E+02	6.47E+03
36.5	67.28	3.09	1.06E+04	2.87E+02	6.49E+03
36.6	67.07	3.08	1.06E+04	2.88E+02	6.50E+03
36.7	66.87	3.07	1.07E+04	2.88E+02	6.52E+03
36.8	66.68	3.06	1.07E+04	2.89E+02	6.53E+03
36.9	66.49	3.05	1.07E+04	2.90E+02	6.55E+03
37.0	66.31	3.04	1.07E+04	2.90E+02	6.57E+03
37.1	66.13	3.03	1.08E+04	2.91E+02	6.58E+03
37.2	65.96	3.03	1.08E+04	2.92E+02	6.60E+03
37.3	65.79	3.02	1.08E+04	2.92E+02	6.61E+03
37.4	65.63	3.01	1.08E+04	2.93E+02	6.63E+03
37.5	65.47	3.00	1.09E+04	2.94E+02	6.64E+03
37.6	65.32	3.00	1.09E+04	2.94E+02	6.66E+03
37.7	65.17	2.99	1.09E+04	2.95E+02	6.67E+03
37.8	65.02	2.98	1.09E+04	2.96E+02	6.69E+03
37.9	64.88	2.98	1.10E+04	2.96E+02	6.70E+03
38.0	64.75	2.97	1.10E+04	2.97E+02	6.72E+03
38.1	64.62	2.97	1.10E+04	2.98E+02	6.73E+03
38.2	64.49	2.96	1.10E+04	2.98E+02	6.75E+03
38.3	64.37	2.95	1.11E+04	2.99E+02	6.76E+03
38.4	64.25	2.95	1.11E+04	3.00E+02	6.78E+03
38.5	64.14	2.94	1.11E+04	3.00E+02	6.79E+03
38.6	64.03	2.94	1.11E+04	3.01E+02	6.81E+03
38.7	63.93	2.93	1.12E+04	3.02E+02	6.82E+03
38.8	63.84	2.93	1.12E+04	3.02E+02	6.84E+03
38.9	63.75	2.93	1.12E+04	3.03E+02	6.85E+03
39.0	63.67	2.92	1.12E+04	3.04E+02	6.87E+03
39.1	63.60	2.92	1.13E+04	3.04E+02	6.88E+03
39.2	63.53	2.92	1.13E+04	3.05E+02	6.90E+03
39.3	63.47	2.91	1.13E+04	3.06E+02	6.91E+03
39.4	63.42	2.91	1.13E+04	3.06E+02	6.93E+03
39.5	63.38	2.91	1.14E+04	3.07E+02	6.94E+03
39.6	63.34	2.91	1.14E+04	3.08E+02	6.96E+03
39.7	63.32	2.91	1.14E+04	3.08E+02	6.97E+03
39.8	63.30	2.91	1.14E+04	3.09E+02	6.99E+03
39.9	63.30	2.90	1.15E+04	3.10E+02	7.01E+03
40.0	63.30	3.06	1.15E+04	3.10E+02	7.02E+03
40.1	63.31	3.06	1.15E+04	3.11E+02	7.04E+03
40.2	63.34	3.06	1.15E+04	3.12E+02	7.05E+03
40.3	63.37	3.07	1.16E+04	3.12E+02	7.07E+03
40.4	63.41	3.07	1.16E+04	3.13E+02	7.08E+03
40.5	63.45	3.07	1.16E+04	3.14E+02	7.10E+03
40.6	63.50	3.07	1.16E+04	3.15E+02	7.11E+03
40.7	63.56	3.07	1.17E+04	3.15E+02	7.13E+03
40.8	63.62	3.08	1.17E+04	3.16E+02	7.14E+03
40.9	63.68	3.08	1.17E+04	3.17E+02	7.16E+03
41.0	63.75	3.08	1.17E+04	3.17E+02	7.18E+03
41.1	63.81	3.09	1.18E+04	3.18E+02	7.19E+03
41.2	63.88	3.09	1.18E+04	3.19E+02	7.21E+03
41.3	63.94	3.09	1.18E+04	3.19E+02	7.22E+03
41.4	64.00	3.10	1.18E+04	3.20E+02	7.24E+03
41.5	64.07	3.10	1.19E+04	3.21E+02	7.26E+03
41.6	64.12	3.10	1.19E+04	3.22E+02	7.27E+03
41.7	64.18	3.10	1.19E+04	3.22E+02	7.29E+03
41.8	64.22	3.11	1.19E+04	3.23E+02	7.30E+03
41.9	64.26	3.11	1.20E+04	3.24E+02	7.32E+03
42.0	64.30	3.11	1.20E+04	3.24E+02	7.34E+03
42.1	64.33	3.11	1.20E+04	3.25E+02	7.35E+03
42.2	64.35	3.11	1.21E+04	3.26E+02	7.37E+03
42.3	64.36	3.11	1.21E+04	3.26E+02	7.38E+03
42.4	64.36	3.11	1.21E+04	3.27E+02	7.40E+03
42.5	64.37	3.11	1.21E+04	3.28E+02	7.42E+03
42.6	64.36	3.11	1.22E+04	3.29E+02	7.43E+03
42.7	64.35	3.11	1.22E+04	3.29E+02	7.45E+03
42.8	64.34	3.11	1.22E+04	3.30E+02	7.46E+03
42.9	64.33	3.11	1.22E+04	3.31E+02	7.48E+03
