natCu(d,x)63Zn					
					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
47.5	64.38	3.21	1.35E+04	3.65E+02	8.26E+03
47.6	64.34	3.21	1.35E+04	3.66E+02	8.28E+03
47.7	64.30	3.21	1.36E+04	3.67E+02	8.30E+03
47.8	64.25	3.21	1.36E+04	3.68E+02	8.31E+03
47.9	64.21	3.20	1.36E+04	3.68E+02	8.33E+03
48.0	64.16	3.20	1.37E+04	3.69E+02	8.35E+03
48.1	64.11	3.20	1.37E+04	3.70E+02	8.37E+03
48.2	64.06	3.20	1.37E+04	3.71E+02	8.38E+03
48.3	64.00	3.19	1.37E+04	3.72E+02	8.40E+03
48.4	63.95	3.19	1.38E+04	3.72E+02	8.42E+03
48.5	63.89	3.19	1.38E+04	3.73E+02	8.44E+03
48.6	63.83	3.18	1.38E+04	3.74E+02	8.46E+03
48.7	63.76	3.18	1.39E+04	3.75E+02	8.47E+03
48.8	63.70	3.18	1.39E+04	3.75E+02	8.49E+03
48.9	63.63	3.17	1.39E+04	3.76E+02	8.51E+03
49.0	63.56	3.17	1.39E+04	3.77E+02	8.53E+03
49.1	63.49	3.17	1.40E+04	3.78E+02	8.54E+03
49.2	63.41	3.16	1.40E+04	3.79E+02	8.56E+03
49.3	63.33	3.16	1.40E+04	3.79E+02	8.58E+03
49.4	63.25	3.15	1.41E+04	3.80E+02	8.60E+03
49.5	63.17	3.15	1.41E+04	3.81E+02	8.62E+03
49.6	63.08	3.15	1.41E+04	3.82E+02	8.63E+03
49.7	62.99	3.14	1.42E+04	3.83E+02	8.65E+03
49.8	62.90	3.14	1.42E+04	3.83E+02	8.67E+03
49.9	62.81	3.13	1.42E+04	3.84E+02	8.69E+03
50.0	62.72	4.02	1.42E+04	3.85E+02	8.70E+03
50.1	62.63	4.01	1.43E+04	3.86E+02	8.72E+03
50.2	62.53	4.00	1.43E+04	3.86E+02	8.74E+03
50.3	62.43	4.00	1.43E+04	3.87E+02	8.76E+03
50.4	62.33	3.99	1.44E+04	3.88E+02	8.77E+03
50.5	62.23	3.98	1.44E+04	3.89E+02	8.79E+03
50.6	62.13	3.98	1.44E+04	3.90E+02	8.81E+03
50.7	62.03	3.97	1.44E+04	3.90E+02	8.83E+03
50.8	61.92	3.97	1.45E+04	3.91E+02	8.85E+03
50.9	61.82	3.96	1.45E+04	3.92E+02	8.86E+03
51.0	61.71	3.95	1.45E+04	3.93E+02	8.88E+03
51.1	61.60	3.94	1.46E+04	3.93E+02	8.90E+03
51.2	61.49	3.94	1.46E+04	3.94E+02	8.92E+03
51.3	61.38	3.93	1.46E+04	3.95E+02	8.93E+03
51.4	61.27	3.92	1.46E+04	3.96E+02	8.95E+03
51.5	61.16	3.92	1.47E+04	3.97E+02	8.97E+03
51.6	61.04	3.91	1.47E+04	3.97E+02	8.99E+03
51.7	60.93	3.90	1.47E+04	3.98E+02	9.01E+03
51.8	60.81	3.89	1.48E+04	3.99E+02	9.02E+03
51.9	60.69	3.89	1.48E+04	4.00E+02	9.04E+03
52.0	60.58	3.88	1.48E+04	4.01E+02	9.06E+03
52.1	60.46	3.87	1.48E+04	4.01E+02	9.08E+03
52.2	60.34	3.86	1.49E+04	4.02E+02	9.09E+03
52.3	60.21	3.86	1.49E+04	4.03E+02	9.11E+03
52.4	60.09	3.85	1.49E+04	4.04E+02	9.13E+03
52.5	59.97	3.84	1.50E+04	4.04E+02	9.15E+03
52.6	59.85	3.83	1.50E+04	4.05E+02	9.16E+03
52.7	59.72	3.82	1.50E+04	4.06E+02	9.18E+03
52.8	59.60	3.82	1.51E+04	4.07E+02	9.20E+03
52.9	59.47	3.81	1.51E+04	4.08E+02	9.22E+03
53.0	59.34	3.80	1.51E+04	4.08E+02	9.23E+03
53.1	59.22	3.79	1.51E+04	4.09E+02	9.25E+03
53.2	59.09	3.78	1.52E+04	4.10E+02	9.27E+03
53.3	58.96	3.78	1.52E+04	4.11E+02	9.29E+03
53.4	58.83	3.77	1.52E+04	4.11E+02	9.31E+03
53.5	58.70	3.76	1.53E+04	4.12E+02	9.32E+03
53.6	58.57	3.75	1.53E+04	4.13E+02	9.34E+03
53.7	58.44	3.74	1.53E+04	4.14E+02	9.36E+03
53.8	58.31	3.73	1.53E+04	4.15E+02	9.38E+03
53.9	58.18	3.73	1.54E+04	4.15E+02	9.39E+03
54.0	58.05	3.72	1.54E+04	4.16E+02	9.41E+03
54.1	57.92	3.71	1.54E+04	4.17E+02	9.43E+03
54.2	57.79	3.70	1.55E+04	4.18E+02	9.45E+03
54.3	57.65	3.69	1.55E+04	4.18E+02	9.46E+03
54.4	57.52	3.68	1.55E+04	4.19E+02	9.48E+03
54.5	57.39	3.67	1.55E+04	4.20E+02	9.50E+03
54.6	57.25	3.67	1.56E+04	4.21E+02	9.52E+03
54.7	57.12	3.66	1.56E+04	4.22E+02	9.53E+03
54.8	56.99	3.65	1.56E+04	4.22E+02	9.55E+03
54.9	56.85	3.64	1.57E+04	4.23E+02	9.57E+03
55.0	56.72	3.63	1.57E+04	4.24E+02	9.59E+03
55.1	56.59	3.62	1.57E+04	4.25E+02	9.60E+03
55.2	56.45	3.61	1.57E+04	4.25E+02	9.62E+03
55.3	56.32	3.61	1.58E+04	4.26E+02	9.64E+03
55.4	56.18	3.60	1.58E+04	4.27E+02	9.66E+03
55.5	56.05	3.59	1.58E+04	4.28E+02	9.67E+03
55.6	55.92	3.58	1.59E+04	4.29E+02	9.69E+03
55.7	55.78	3.57	1.59E+04	4.29E+02	9.71E+03
55.8	55.65	3.56	1.59E+04	4.30E+02	9.73E+03
55.9	55.52	3.55	1.59E+04	4.31E+02	9.74E+03
56.0	55.38	3.55	1.60E+04	4.32E+02	9.76E+03
56.1	55.25	3.54	1.60E+04	4.32E+02	9.78E+03
56.2	55.11	3.53	1.60E+04	4.33E+02	9.79E+03
56.3	54.98	3.52	1.61E+04	4.34E+02	9.81E+03
56.4	54.84	3.51	1.61E+04	4.35E+02	9.83E+03
56.5	54.71	3.50	1.61E+04	4.35E+02	9.85E+03
56.6	54.58	3.49	1.61E+04	4.36E+02	9.86E+03
56.7	54.44	3.49	1.62E+04	4.37E+02	9.88E+03
56.8	54.31	3.48	1.62E+04	4.38E+02	9.90E+03
56.9	54.17	3.47	1.62E+04	4.38E+02	9.92E+03
57.0	54.04	3.46	1.63E+04	4.39E+02	9.93E+03
57.1	53.90	3.45	1.63E+04	4.40E+02	9.95E+03
57.2	53.77	3.44	1.63E+04	4.41E+02	9.97E+03
57.3	53.64	3.43	1.63E+04	4.42E+02	9.98E+03
57.4	53.50	3.43	1.64E+04	4.42E+02	1.00E+04
57.5	53.37	3.42	1.64E+04	4.43E+02	1.00E+04
57.6	53.23	3.41	1.64E+04	4.44E+02	1.00E+04
57.7	53.10	3.40	1.64E+04	4.45E+02	1.01E+04
57.8	52.96	3.39	1.65E+04	4.45E+02	1.01E+04
57.9	52.83	3.38	1.65E+04	4.46E+02	1.01E+04
58.0	52.69	3.37	1.65E+04	4.47E+02	1.01E+04
58.1	52.56	3.37	1.66E+04	4.48E+02	1.01E+04
58.2	52.42	3.36	1.66E+04	4.48E+02	1.01E+04
58.3	52.29	3.35	1.66E+04	4.49E+02	1.02E+04
58.4	52.16	3.34	1.66E+04	4.50E+02	1.02E+04
58.5	52.02	3.33	1.67E+04	4.51E+02	1.02E+04
58.6	51.89	3.32	1.67E+04	4.51E+02	1.02E+04
58.7	51.75	3.31	1.67E+04	4.52E+02	1.02E+04
58.8	51.62	3.31	1.68E+04	4.53E+02	1.02E+04
58.9	51.48	3.30	1.68E+04	4.54E+02	1.03E+04
59.0	51.35	3.29	1.68E+04	4.54E+02	1.03E+04
59.1	51.21	3.28	1.68E+04	4.55E+02	1.03E+04
59.2	51.08	3.27	1.69E+04	4.56E+02	1.03E+04
59.3	50.94	3.26	1.69E+04	4.56E+02	1.03E+04
59.4	50.81	3.25	1.69E+04	4.57E+02	1.03E+04
59.5	50.67	3.24	1.69E+04	4.58E+02	1.04E+04
59.6	50.54	3.24	1.70E+04	4.59E+02	1.04E+04
59.7	50.40	3.23	1.70E+04	4.59E+02	1.04E+04
59.8	50.27	3.22	1.70E+04	4.60E+02	1.04E+04
59.9	50.13	3.21	1.71E+04	4.61E+02	1.04E+04
60.0	50.00	3.20	1.71E+04	4.62E+02	1.04E+04
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
