name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.648207106057146,0.8547170027992911
Ni01,Ni,0.025600899381675098,8.895,22.772,30.3789935988,0.561794129199963
Ir01,Ir,0.024510884051532653,22.51,55.174,29.764187758800002,0.6186513649670169
Cu01,Cu,0.024961448206503523,8.949,22.338,29.15909144280001,0.5736476098341895
Fe01,Fe,0.025464022374777528,7.866,20.03,28.717141701600006,0.5772328649662151
Ni02,Ni,0.02598988195615514,8.895,23.118,28.248037309800004,0.5933917901951619
Ir02,Ir,0.024700577521101733,22.51,55.601,27.593197651800004,0.6541268349492276
Cu02,Cu,0.024946921443736732,8.949,22.325,26.951356080000007,0.6071971056621018
Fe02,Fe,0.02544749555047038,7.866,20.017,26.482500851400005,0.61207494416166
Ni03,Ni,0.025112984822934233,8.895,22.338,25.992862493400004,0.6277191844333763
Ir03,Ir,0.024719235895157707,22.51,55.643,25.306765649550005,0.6809418553528126
Cu03,Cu,0.024933512124259694,8.949,22.313,24.623652556800007,0.6479523886812355
Fe03,Fe,0.02535977625222477,7.866,19.948,24.1226084484,0.6545110918210207
Ni04,Ni,0.02327599775154581,8.895,20.704,23.618362026600003,0.6671387456847375
Ir04,Ir,0.024877832074633496,22.51,56.0,22.901246270100003,0.7317231491796402
Cu04,Cu,0.024901106268856856,8.949,22.284,22.165174072800003,0.6985750975223812
Ni05,Ni,0.024472175379426645,8.895,21.768,21.5992175058,0.714562323355915
Ir05,Ir,0.02450510884051533,22.51,55.161,20.827942795440002,0.770765632575117
Cu05,Cu,0.025078779751927592,8.949,22.443,20.0456592534,0.7504478562902415
Ni06,Ni,0.025700955593029793,8.895,22.861,19.417440962700006,0.7668413667767052
Ir06,Ir,0.02475832963127499,22.51,55.731,18.5637511026,0.8308293413283768
Cu06,Cu,0.0250262599173092,8.949,22.396,17.710186314150004,0.8108884103540522
Ni07,Ni,0.025960652051714446,8.895,23.092,17.01746963532,0.8376463174430865
Ir07,Ir,0.025182141270546424,22.51,56.685,16.06559281894286,0.9161466518546544
Cu07,Cu,0.024941334227287965,8.949,22.32,15.111220481280004,0.9007639215789481
Ni08,Ni,0.02519280494659921,8.895,22.409,14.344065806400003,0.9374919101352193
Ir08,Ir,0.02577965348733896,22.51,58.03,13.265436767220002,1.0395063254960688
Cu08,Cu,0.025031847133757962,8.949,22.401,12.153945205285716,1.0407855647617454
Ni09,Ni,0.024441821247892074,8.895,21.741,11.261590186275,1.100430404791351
Ir09,Ir,0.025175033318525098,22.51,56.669,10.011534394242858,1.2450344955815453
Cu09,Cu,0.025058665772712038,8.949,22.425,8.668576233900001,1.3047634361393268
Ni10,Ni,0.02596177627880832,8.895,23.093,7.462103285587501,1.4682811419400557
Ir10,Ir,0.024462461128387382,22.51,55.065,5.729108376351725,1.803423425575456
Cu10,Cu,0.024934629567549448,8.949,22.314,3.7361391490500004,2.0437528185407627
SS02,SS_316,0.12862547288776796,7.93,102.0,0.6302907687564357,1.3482003716796225
