name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.758338431930003,0.8541280592839701
Ni01,Ni,0.025600899381675098,8.895,22.772,30.522079270705003,0.5599090520342948
Ir01,Ir,0.024510884051532653,22.51,55.174,29.92350110937,0.6141922317773766
Cu01,Cu,0.024961448206503523,8.949,22.338,29.334521679540003,0.5713904451859347
Fe01,Fe,0.025464022374777528,7.866,20.03,28.904681494150005,0.5749056927771241
Ni02,Ni,0.02598988195615514,8.895,23.118,28.448619133220003,0.590327297458025
Ir02,Ir,0.024700577521101733,22.51,55.601,27.812136503635003,0.6482898872327129
Cu02,Cu,0.024946921443736732,8.949,22.325,27.188623405515003,0.6036435242282864
Fe02,Fe,0.02544749555047038,7.866,20.017,26.733571066180005,0.6083122782048193
Ni03,Ni,0.025112984822934233,8.895,22.338,26.258579703565,0.6231844340508951
Ir03,Ir,0.024719235895157707,22.51,55.643,25.593190045005002,0.6738057247690207
Cu03,Cu,0.024933512124259694,8.949,22.313,24.931128782835007,0.6424963026574599
Fe03,Fe,0.02535977625222477,7.866,19.948,24.446177232125006,0.6486428228868166
Ni04,Ni,0.02327599775154581,8.895,20.704,23.958487441405005,0.6606019330845185
Ir04,Ir,0.024877832074633496,22.51,56.0,23.265060168982505,0.7217609324903871
Cu04,Cu,0.024901106268856856,8.949,22.284,22.553968141374998,0.6902012154319748
Ni05,Ni,0.024472175379426645,8.895,21.768,22.008299154600003,0.7051510188663478
Ir05,Ir,0.02450510884051533,22.51,55.161,21.264920627379006,0.7581127276358245
Cu05,Cu,0.025078779751927592,8.949,22.443,20.511917498545,0.7385107041231884
Ni06,Ni,0.025700955593029793,8.895,22.861,19.908755346438753,0.753689689637202
Ir06,Ir,0.02475832963127499,22.51,55.731,19.089571656897505,0.813402634326377
Cu06,Cu,0.0250262599173092,8.949,22.396,18.272147671841253,0.7938831401678217
Ni07,Ni,0.025960652051714446,8.895,23.092,17.611067543561255,0.8222112349572576
Ir07,Ir,0.025182141270546424,22.51,56.685,16.704033903833572,0.8903871132742927
Cu07,Cu,0.024941334227287965,8.949,22.32,15.797174231817001,0.8742213449683908
Ni08,Ni,0.02519280494659921,8.895,22.409,15.072396268578002,0.9091030333605349
Ir08,Ir,0.02577965348733896,22.51,58.03,14.05577367359,0.9998419749432991
Cu08,Cu,0.025031847133757962,8.949,22.401,13.0141226290625,0.9961062354142132
Ni09,Ni,0.024441821247892074,8.895,21.741,12.186901559462145,1.0446036859939225
Ir09,Ir,0.025175033318525098,22.51,56.669,11.034467212780001,1.1668793769016883
Cu09,Cu,0.025058665772712038,8.949,22.425,9.813951959955002,1.2009394534787388
Ni10,Ni,0.02596177627880832,8.895,23.093,8.750075614802501,1.3127275566126246
Ir10,Ir,0.024462461128387382,22.51,55.065,7.264121919607143,1.5389648233168465
Cu10,Cu,0.024934629567549448,8.949,22.314,5.610476467812857,1.7624317148978892
SS02,SS_316,0.12862547288776796,7.93,102.0,1.5741935445608912,2.123075111361157
