# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.334688885521824204e+02,3.682425336755461576e+00,2.759014011955108980e+00
1.000000000000000000e+00,1.352736791688814151e+02,3.806439484632631931e+00,2.813880355749406981e+00
2.000000000000000000e+00,1.369855577872654067e+02,3.719782376155041259e+00,2.715455874503029943e+00
3.000000000000000000e+00,1.382073764056403320e+02,4.299063345726191088e+00,3.110588926243985863e+00
4.000000000000000000e+00,1.395559845761409292e+02,4.287705343398859448e+00,3.072390880564145554e+00
5.000000000000000000e+00,1.396471770320782753e+02,4.611706662531791956e+00,3.302398774213989086e+00
6.000000000000000000e+00,1.398820688960948928e+02,4.380404773821967801e+00,3.131498417481767937e+00
7.000000000000000000e+00,1.333133483644083412e+02,4.270524513084371421e+00,3.203373529716627477e+00
8.000000000000000000e+00,1.349514641773137669e+02,5.162552823057345641e+00,3.825488559556662338e+00
9.000000000000000000e+00,1.109540701722986569e+02,5.953475467190089354e+00,5.365711648022502445e+00
