# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.334663548368152135e+02,3.682344793616044942e+00,2.759006041723641278e+00
1.000000000000000000e+00,1.352514201660167998e+02,3.805409276054203982e+00,2.813581751217980376e+00
2.000000000000000000e+00,1.369809300867524939e+02,3.719668147888449017e+00,2.715464222306503306e+00
3.000000000000000000e+00,1.381326305412226816e+02,4.292799878828293281e+00,3.107737731489302657e+00
4.000000000000000000e+00,1.394996647330545443e+02,4.284587380925862554e+00,3.071396185162749592e+00
5.000000000000000000e+00,1.392151579402191146e+02,4.589513012541507564e+00,3.296704956878551140e+00
6.000000000000000000e+00,1.398413115231649044e+02,4.377513799576883358e+00,3.130343781745598353e+00
7.000000000000000000e+00,1.332038391907206858e+02,4.264903126082140616e+00,3.201786939470768978e+00
8.000000000000000000e+00,1.348873190978770822e+02,5.158712797751919155e+00,3.824460914675491985e+00
9.000000000000000000e+00,1.107020421177594613e+02,5.935849603476103908e+00,5.362005514913477988e+00
