# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.341159041013692672e+02,3.699924765989368147e+00,2.758751686297280514e+00
1.000000000000000000e+00,1.365260627551110701e+02,3.834839155002709443e+00,2.808869660206432695e+00
2.000000000000000000e+00,1.382273681348697494e+02,3.751683911360149004e+00,2.714139726439409372e+00
3.000000000000000000e+00,1.392218685752647787e+02,4.320302512817067786e+00,3.103178083320629721e+00
4.000000000000000000e+00,1.400997312989169643e+02,4.302563958119588250e+00,3.071072241344726450e+00
5.000000000000000000e+00,1.393230275585710558e+02,4.593440599472113917e+00,3.296971563111520176e+00
6.000000000000000000e+00,1.398424271456287613e+02,4.377310556919573159e+00,3.130173471861397161e+00
7.000000000000000000e+00,1.343216234255376662e+02,4.298733359149036204e+00,3.200328621349693314e+00
8.000000000000000000e+00,1.411071793214086654e+02,5.492451471046811307e+00,3.892396898201976096e+00
9.000000000000000000e+00,1.184591237775095607e+02,6.431796003450602761e+00,5.429548859006276373e+00
