# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.334930310928181711e+02,3.684950042472303622e+00,2.760406301591987521e+00
1.000000000000000000e+00,1.361264510825333218e+02,3.829832653800695486e+00,2.813437523232477311e+00
2.000000000000000000e+00,1.395521071408880402e+02,3.789900471248646152e+00,2.715760119209425394e+00
3.000000000000000000e+00,1.429947194961226558e+02,4.429595877505769330e+00,3.097733883540978450e+00
4.000000000000000000e+00,1.446574170700375817e+02,4.466726131639863873e+00,3.087796133866572479e+00
5.000000000000000000e+00,1.474197448952506306e+02,4.906003463903978457e+00,3.327914769754857449e+00
6.000000000000000000e+00,1.421349306693276162e+02,4.456656130837281182e+00,3.135510820493204065e+00
7.000000000000000000e+00,1.202525654583090216e+02,3.949139691654243389e+00,3.284037788801596136e+00
8.000000000000000000e+00,8.051023091590924707e+01,3.319961119253732384e+00,4.123651219832348502e+00
9.000000000000000000e+00,5.170129872298442564e+00,9.030685780057632339e-01,1.746703855244343018e+01
