# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.333926183532412040e+02,3.682340746431310485e+00,2.760528125087092999e+00
1.000000000000000000e+00,1.358840605858917456e+02,3.823794103467574867e+00,2.814012244688971709e+00
2.000000000000000000e+00,1.391498160803325277e+02,3.778886668299409113e+00,2.715696487962169670e+00
3.000000000000000000e+00,1.424135602879934197e+02,4.413358934334768335e+00,3.098973809382988165e+00
4.000000000000000000e+00,1.443588794210141941e+02,4.450365707427853756e+00,3.082848609851440713e+00
5.000000000000000000e+00,1.467911071000739298e+02,4.871965075820793523e+00,3.318978357796130929e+00
6.000000000000000000e+00,1.417913989495337717e+02,4.445259110541925907e+00,3.135069647012987737e+00
7.000000000000000000e+00,1.215044139897926811e+02,3.977068597475867051e+00,3.273188575527775868e+00
8.000000000000000000e+00,8.528612852112262033e+01,3.475823298893931934e+00,4.075484910811823624e+00
9.000000000000000000e+00,1.308957270931704286e+01,1.558193506975865672e+00,1.190408229190519940e+01
