# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.337134570148358250e+02,3.690104776529091080e+00,2.759710846545284646e+00
1.000000000000000000e+00,1.363897591035376138e+02,3.835670753075182571e+00,2.812286478314994564e+00
2.000000000000000000e+00,1.396465513360136583e+02,3.792190031046539289e+00,2.715562965763384184e+00
3.000000000000000000e+00,1.428950509640986581e+02,4.426248627767028765e+00,3.097552083087252051e+00
4.000000000000000000e+00,1.445477983729930429e+02,4.459685194998167290e+00,3.085266773479549585e+00
5.000000000000000000e+00,1.470362239926863026e+02,4.884120077462696052e+00,3.321712122929405542e+00
6.000000000000000000e+00,1.418631113420258032e+02,4.447722456563197646e+00,3.135221280914903819e+00
7.000000000000000000e+00,1.214270819244928532e+02,3.975688424852350522e+00,3.274136512087606476e+00
8.000000000000000000e+00,8.550497038908879688e+01,3.483063270967732716e+00,4.073521404800349188e+00
9.000000000000000000e+00,3.218680531169089676e+01,2.513161551907621583e+00,7.808049067220692585e+00
