# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.339566960378473652e+02,3.695274946441324815e+00,2.758559337263202682e+00
1.000000000000000000e+00,1.362124547150412752e+02,3.828124262512966780e+00,2.810406926827261564e+00
2.000000000000000000e+00,1.379357998067182507e+02,3.744258181750840908e+00,2.714493399826195308e+00
3.000000000000000000e+00,1.391151834858619338e+02,4.322226039927535624e+00,3.106940544967039308e+00
4.000000000000000000e+00,1.401556701197426094e+02,4.305706630725365081e+00,3.072088790304927208e+00
5.000000000000000000e+00,1.399374884888178769e+02,4.621269952212252008e+00,3.302381657779665414e+00
6.000000000000000000e+00,1.399228687825196289e+02,4.381679412766064985e+00,3.131496267115888354e+00
7.000000000000000000e+00,1.337943045308082048e+02,4.285306944321348510e+00,3.202906849696722791e+00
8.000000000000000000e+00,1.373876195312801656e+02,5.235243268120306048e+00,3.810564071188638380e+00
9.000000000000000000e+00,1.147924004825573263e+02,6.196540015574175442e+00,5.398040279256759888e+00
