# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.336653365018182740e+02,3.688805341139115956e+00,2.759732207077439714e+00
1.000000000000000000e+00,1.362714000636617584e+02,3.832691134423697132e+00,2.812542567723809395e+00
2.000000000000000000e+00,1.394478515812100738e+02,3.786715352789982170e+00,2.715506413223381266e+00
3.000000000000000000e+00,1.426039882314330782e+02,4.418134068089354827e+00,3.098184085089634721e+00
4.000000000000000000e+00,1.443841021495446739e+02,4.451230625159428023e+00,3.082909100718790985e+00
5.000000000000000000e+00,1.466886705700344180e+02,4.866735510887152394e+00,3.317731009473972037e+00
6.000000000000000000e+00,1.416977695795162902e+02,4.442212171491088490e+00,3.134990892710036725e+00
7.000000000000000000e+00,1.220721286153683849e+02,3.990229387477600476e+00,3.268747283051183672e+00
8.000000000000000000e+00,8.802247272365559638e+01,3.564688490661228837e+00,4.049748184026232600e+00
9.000000000000000000e+00,4.196090448745513868e+01,2.908871957971319588e+00,6.932338550616733208e+00
