# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.331449247048622908e+02,3.676792994633332423e+00,2.761496919828938967e+00
1.000000000000000000e+00,1.356052364636186098e+02,3.817657850195823155e+00,2.815273178053163683e+00
2.000000000000000000e+00,1.390496573856404439e+02,3.776537175010363345e+00,2.715962948787792985e+00
3.000000000000000000e+00,1.425174036810718690e+02,4.416798026000867239e+00,3.099128886662053439e+00
4.000000000000000000e+00,1.444983874526523948e+02,4.457910004338408783e+00,3.085093254621354308e+00
5.000000000000000000e+00,1.472091705226154090e+02,4.894147043974428790e+00,3.324621031828008721e+00
6.000000000000000000e+00,1.420576192384644116e+02,4.454060215517242405e+00,3.135389878694541110e+00
7.000000000000000000e+00,1.203248749926150651e+02,3.950395254284583491e+00,3.283107715280850325e+00
8.000000000000000000e+00,8.030777758633767860e+01,3.313034858910837599e+00,4.125422167671175089e+00
9.000000000000000000e+00,3.355129421621914965e+00,6.808605216176698560e-01,2.029312244201097570e+01
