# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.329474506256943869e+02,3.669406180006826723e+00,2.760042530140589534e+00
1.000000000000000000e+00,1.341690731352868511e+02,3.780116014147087533e+00,2.817427239983598231e+00
2.000000000000000000e+00,1.354025391724037490e+02,3.678797723493890892e+00,2.716934073747165890e+00
3.000000000000000000e+00,1.359930720018489012e+02,4.241427887811135555e+00,3.118855854475786060e+00
4.000000000000000000e+00,1.371162854083330842e+02,4.216236850269091896e+00,3.074935145532213365e+00
5.000000000000000000e+00,1.373697608468843612e+02,4.541951744114254730e+00,3.306369404818883861e+00
6.000000000000000000e+00,1.395138993221569024e+02,4.367771215530478202e+00,3.130706859138594034e+00
7.000000000000000000e+00,1.360243748264435624e+02,4.351849506737202056e+00,3.199315940462744923e+00
8.000000000000000000e+00,1.487319015857803208e+02,6.134419654803582311e+00,4.124481425570686532e+00
9.000000000000000000e+00,1.238607303373280359e+02,6.797642563986624253e+00,5.488133765620152538e+00
