# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.247890932699994835e+02,3.495159580343421890e+00,2.800853414954408205e+00
1.000000000000000000e+00,1.227071431373707640e+02,3.506915088177374074e+00,2.857955126745457264e+00
2.000000000000000000e+00,1.225593090790580106e+02,3.361779670375113493e+00,2.742981904545958471e+00
3.000000000000000000e+00,1.219614115161040928e+02,3.873843186949709416e+00,3.176285957003865512e+00
4.000000000000000000e+00,1.251186949597867795e+02,3.869221097284659461e+00,3.092440421096327441e+00
5.000000000000000000e+00,1.295279638936405888e+02,4.327133697711299298e+00,3.340694601873339220e+00
6.000000000000000000e+00,1.374726615301220818e+02,4.313282417433467408e+00,3.137556492632806115e+00
7.000000000000000000e+00,1.394674640431555872e+02,4.544866486681525153e+00,3.258728849672925421e+00
8.000000000000000000e+00,1.358391541419597104e+02,6.446789288961881859e+00,4.745899170002646272e+00
9.000000000000000000e+00,1.608169406787209823e+02,9.945877251147445364e+00,6.184595484263845755e+00
