# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.322443853779244023e+02,3.653503486249496390e+00,2.762690813533303036e+00
1.000000000000000000e+00,1.330636824869359600e+02,3.754125440056987895e+00,2.821299824184231309e+00
2.000000000000000000e+00,1.343458769495961747e+02,3.652369176032688181e+00,2.718631385615936757e+00
3.000000000000000000e+00,1.350286290370552820e+02,4.212446622937953578e+00,3.119669253089988548e+00
4.000000000000000000e+00,1.364825766852722495e+02,4.197023484324581943e+00,3.075134999834363558e+00
5.000000000000000000e+00,1.366796868681837793e+02,4.511875321500423475e+00,3.301057695465568820e+00
6.000000000000000000e+00,1.394219961459080537e+02,4.363418981839276789e+00,3.129648909396525180e+00
7.000000000000000000e+00,1.353799924065347966e+02,4.329046742560991312e+00,3.197700535808294386e+00
8.000000000000000000e+00,1.408405847192303213e+02,5.400248536066380112e+00,3.834298577240308425e+00
9.000000000000000000e+00,1.192691850467669923e+02,6.493604364811447205e+00,5.444494621360262521e+00
