# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.340801835968510147e+02,3.698844688640058553e+00,2.758681103660816536e+00
1.000000000000000000e+00,1.364209452523360255e+02,3.832191267812766089e+00,2.809093032396464018e+00
2.000000000000000000e+00,1.380229757076459691e+02,3.746256628124207122e+00,2.714226822684477458e+00
3.000000000000000000e+00,1.388774527301544595e+02,4.311263883910764427e+00,3.104365610944604725e+00
4.000000000000000000e+00,1.396695838242087007e+02,4.289701260616113565e+00,3.071321001439532239e+00
5.000000000000000000e+00,1.388535912264000842e+02,4.578898063795195483e+00,3.297644679804734302e+00
6.000000000000000000e+00,1.397676800007606630e+02,4.374714107287235088e+00,3.129989785380587808e+00
7.000000000000000000e+00,1.349585344877769444e+02,4.317876630315937270e+00,3.199409838513771920e+00
8.000000000000000000e+00,1.435860409304069947e+02,5.668349760533695658e+00,3.947702523033572941e+00
9.000000000000000000e+00,1.217521583947046508e+02,6.654137835001352919e+00,5.465314063204944617e+00
