# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.339121497603704825e+02,3.693950174046708668e+00,2.758487695595104316e+00
1.000000000000000000e+00,1.360828116276991864e+02,3.824966850902148607e+00,2.810764126013685082e+00
2.000000000000000000e+00,1.376993502503192701e+02,3.737925287873829383e+00,2.714555501590075526e+00
3.000000000000000000e+00,1.387251173954429362e+02,4.311999583116320700e+00,3.108304872307117162e+00
4.000000000000000000e+00,1.396825403863358304e+02,4.291530706991469657e+00,3.072345831570571839e+00
5.000000000000000000e+00,1.394100732876273696e+02,4.604800297162155331e+00,3.303061384711882820e+00
6.000000000000000000e+00,1.398322706740763977e+02,4.378552031332785255e+00,3.131288657636400519e+00
7.000000000000000000e+00,1.344958333000982975e+02,4.305695894268811941e+00,3.201360063446415438e+00
8.000000000000000000e+00,1.398774909301648677e+02,5.352561694270009163e+00,3.826606881976690300e+00
9.000000000000000000e+00,1.182348973731981658e+02,6.417912189626881592e+00,5.428103150772229490e+00
