# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.334414816751065871e+02,3.683608255541592325e+00,2.760467142076680869e+00
1.000000000000000000e+00,1.360027613987330994e+02,3.826765328112121889e+00,2.813740904048856795e+00
2.000000000000000000e+00,1.393489780984639879e+02,3.784336712950199466e+00,2.715726203801930527e+00
3.000000000000000000e+00,1.427030630595558591e+02,4.421449301124450670e+00,3.098356269535152308e+00
4.000000000000000000e+00,1.445220376592607749e+02,4.458696965681344437e+00,3.085132923598546295e+00
5.000000000000000000e+00,1.471214413868545137e+02,4.888901639160025070e+00,3.323038160226218896e+00
6.000000000000000000e+00,1.419561240590023772e+02,4.450737252385064124e+00,3.135290768107452664e+00
7.000000000000000000e+00,1.208751413519050146e+02,3.962958980239831508e+00,3.278555818770403363e+00
8.000000000000000000e+00,8.288084552762202861e+01,3.397399557929001279e+00,4.099137184594401795e+00
9.000000000000000000e+00,8.091333833372766904e+00,1.183280972925140784e+00,1.462405330558343231e+01
