# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.337055750154417240e+02,3.688396039181540242e+00,2.758595547534622661e+00
1.000000000000000000e+00,1.356882832887974075e+02,3.815913940874287036e+00,2.812264882703644275e+00
2.000000000000000000e+00,1.373475959514002227e+02,3.728979685276121891e+00,2.714994506780885608e+00
3.000000000000000000e+00,1.384691904850110973e+02,4.305617877204285904e+00,3.109441069253854550e+00
4.000000000000000000e+00,1.396204009794059857e+02,4.289611746128875858e+00,3.072338795790733990e+00
5.000000000000000000e+00,1.395306399306205378e+02,4.608290066241429450e+00,3.302708328817835604e+00
6.000000000000000000e+00,1.398566405854271579e+02,4.379450143050024558e+00,3.131385198956621263e+00
7.000000000000000000e+00,1.339074078259027090e+02,4.288047185395942762e+00,3.202247922662329049e+00
8.000000000000000000e+00,1.375030069994980408e+02,5.260386932185342701e+00,3.825652287156560583e+00
9.000000000000000000e+00,1.145602788115979820e+02,6.178272131185848615e+00,5.393031681902964891e+00
