# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.338626377382668693e+02,3.693573752001299670e+00,2.759226782325259641e+00
1.000000000000000000e+00,1.365216755237369455e+02,3.838206690476901439e+00,2.811426592702163774e+00
2.000000000000000000e+00,1.395349642227232039e+02,3.788739996678646804e+00,2.715262097771514949e+00
3.000000000000000000e+00,1.424906412736724235e+02,4.414450810432891004e+00,3.098063684024233932e+00
4.000000000000000000e+00,1.442117689883196192e+02,4.442921515825520196e+00,3.080831437679246054e+00
5.000000000000000000e+00,1.461822952274679608e+02,4.843402743461034277e+00,3.313262208617278048e+00
6.000000000000000000e+00,1.414398036816139665e+02,4.433725336162383179e+00,3.134708349951373485e+00
7.000000000000000000e+00,1.233279016636494418e+02,4.019219810577931540e+00,3.258970400339330276e+00
8.000000000000000000e+00,9.357430194181500838e+01,3.742522689776572431e+00,3.999519752873703204e+00
9.000000000000000000e+00,6.514184749336773450e+01,3.723765986802614059e+00,5.716396034333752318e+00
