# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.332040250728545345e+02,3.676032190536486333e+00,2.759700533468053329e+00
1.000000000000000000e+00,1.348274537043844248e+02,3.795752029748150402e+00,2.815266420495128763e+00
2.000000000000000000e+00,1.366189067592912352e+02,3.710555135450789077e+00,2.715989480129872291e+00
3.000000000000000000e+00,1.378821542622071092e+02,4.286553761819837050e+00,3.108853197686629155e+00
4.000000000000000000e+00,1.394417223300450246e+02,4.282898265561628115e+00,3.071461105037431860e+00
5.000000000000000000e+00,1.393351550541302117e+02,4.593111199147349666e+00,3.296448191673504891e+00
6.000000000000000000e+00,1.398690135533176715e+02,4.378567629086650648e+00,3.130477235701353500e+00
7.000000000000000000e+00,1.325995873556931599e+02,4.247396143605131513e+00,3.203174480635191390e+00
8.000000000000000000e+00,1.298301409522813117e+02,4.757520676256032921e+00,3.664419249151586122e+00
9.000000000000000000e+00,1.071034949962883900e+02,5.719104091229982423e+00,5.339792218198084583e+00
