# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.343024532645587499e+02,3.705888304031407010e+00,2.759360096521303873e+00
1.000000000000000000e+00,1.370287561530887501e+02,3.847249774170031777e+00,2.807622197104290951e+00
2.000000000000000000e+00,1.387901765510518430e+02,3.766641940748031825e+00,2.713911052172003124e+00
3.000000000000000000e+00,1.399418730323359625e+02,4.343272359948194605e+00,3.103626002593668165e+00
4.000000000000000000e+00,1.406840991984289815e+02,4.321714308264922089e+00,3.071928052202492765e+00
5.000000000000000000e+00,1.402382591941657779e+02,4.632289539116591470e+00,3.303156760312456086e+00
6.000000000000000000e+00,1.399453690037364311e+02,4.382374723618325696e+00,3.131489634002336597e+00
7.000000000000000000e+00,1.343276912849263454e+02,4.301628147613842934e+00,3.202339075782621336e+00
8.000000000000000000e+00,1.391684527569185263e+02,5.221777547600085612e+00,3.752127327822500469e+00
9.000000000000000000e+00,1.189343269982163065e+02,6.467733590047166636e+00,5.438071373745752446e+00
