# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.344488361008582444e+02,3.711277219554087736e+00,2.760363962370067092e+00
1.000000000000000000e+00,1.374724755378561838e+02,3.857915816769906581e+00,2.806318720657315247e+00
2.000000000000000000e+00,1.393272296967553245e+02,3.781036104792666830e+00,2.713781156075566692e+00
3.000000000000000000e+00,1.405629259811226461e+02,4.359248603457665183e+00,3.101279069875868100e+00
4.000000000000000000e+00,1.411989613481164270e+02,4.337574834369671173e+00,3.071959448537072035e+00
5.000000000000000000e+00,1.405665291925879501e+02,4.641887973992727900e+00,3.302271174123501130e+00
6.000000000000000000e+00,1.400046339694608832e+02,4.384379406749469688e+00,3.131595921107748204e+00
7.000000000000000000e+00,1.342031995787304197e+02,4.298467574449017725e+00,3.202954615047995279e+00
8.000000000000000000e+00,1.397529591270526339e+02,5.292387869640010400e+00,3.786959433773834593e+00
9.000000000000000000e+00,1.191248837971321137e+02,6.483331733471587199e+00,5.442466365392307992e+00
