# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.335851067873574038e+02,3.694569744320124194e+00,2.765704825314988735e+00
1.000000000000000000e+00,1.360069868569864866e+02,3.865607075132299730e+00,2.842212127820350265e+00
2.000000000000000000e+00,1.393715643867897711e+02,3.823414005050151054e+00,2.743324308565019187e+00
3.000000000000000000e+00,1.428628833973234009e+02,4.492869048208914862e+00,3.144881960497439177e+00
4.000000000000000000e+00,1.462386561666645264e+02,4.504018475788005738e+00,3.079909644858120910e+00
5.000000000000000000e+00,1.479608016646441797e+02,4.925232503487201541e+00,3.328741428861901941e+00
6.000000000000000000e+00,1.424440263475147219e+02,4.498938750514303031e+00,3.158390608489562545e+00
7.000000000000000000e+00,1.213469993096732367e+02,3.994044632639266901e+00,3.291424308273669386e+00
8.000000000000000000e+00,8.321819765372147515e+01,3.412371272572139791e+00,4.100510908408913302e+00
9.000000000000000000e+00,4.689631954693330940e+00,8.723494150948861714e-01,1.860166050390902726e+01
