# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.333202674618689514e+02,3.678447571568037144e+00,2.759106054614024472e+00
1.000000000000000000e+00,1.348760954626814623e+02,3.796660467951512796e+00,2.814924657277019904e+00
2.000000000000000000e+00,1.362654346617440524e+02,3.700888740086531570e+00,2.715940949569025431e+00
3.000000000000000000e+00,1.370405059055421475e+02,4.268518697619974489e+00,3.114786149842539764e+00
4.000000000000000000e+00,1.381333294993701202e+02,4.245776276531382898e+00,3.073679822182772359e+00
5.000000000000000000e+00,1.381789151467355055e+02,4.566451643102665159e+00,3.304738380854590485e+00
6.000000000000000000e+00,1.396421139673559253e+02,4.372082754698038976e+00,3.130919914117097136e+00
7.000000000000000000e+00,1.353364892403950535e+02,4.330338869676652713e+00,3.199683170430683177e+00
8.000000000000000000e+00,1.417592278438472135e+02,5.466151516160807411e+00,3.855940526271747437e+00
9.000000000000000000e+00,1.208833902402765119e+02,6.592745075389872866e+00,5.453805574351992647e+00
