# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.332063917035538907e+02,3.676109713368772347e+00,2.759709700379711972e+00
1.000000000000000000e+00,1.348479376335111795e+02,3.796747105387703325e+00,2.815576694770428823e+00
2.000000000000000000e+00,1.366233551028755073e+02,3.710666424545428388e+00,2.715982506615612913e+00
3.000000000000000000e+00,1.379537970224398009e+02,4.292735305737384266e+00,3.111719574517489040e+00
4.000000000000000000e+00,1.394979117735908289e+02,4.286012797597793522e+00,3.072456600321098019e+00
5.000000000000000000e+00,1.397683944827955713e+02,4.615342697770040914e+00,3.302136162362625527e+00
6.000000000000000000e+00,1.399086810915318040e+02,4.381434995251605180e+00,3.131639124226436977e+00
7.000000000000000000e+00,1.327006113511346825e+02,4.252818776271077184e+00,3.204822293559624224e+00
8.000000000000000000e+00,1.298765673217721712e+02,4.760641396005545367e+00,3.665512181432195593e+00
9.000000000000000000e+00,1.073297471151975060e+02,5.735433821136343369e+00,5.343750428276400122e+00
