# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.336125229345823584e+02,3.687402889775688752e+00,2.759773417032973075e+00
1.000000000000000000e+00,1.361435840813943230e+02,3.829492377819051274e+00,2.812833526939884532e+00
2.000000000000000000e+00,1.392362180908835114e+02,3.780887535586106907e+00,2.715448313252958545e+00
3.000000000000000000e+00,1.422938136711771620e+02,4.409535644343742788e+00,3.098894836379617157e+00
4.000000000000000000e+00,1.441822560324953884e+02,4.441919649051105701e+00,3.080767197906792543e+00
5.000000000000000000e+00,1.462956915265919804e+02,4.848579517414566276e+00,3.314232611240807813e+00
6.000000000000000000e+00,1.415345995379985311e+02,4.436762580187545879e+00,3.134754748782389022e+00
7.000000000000000000e+00,1.227460840088197500e+02,4.005521366018161444e+00,3.263257967342037436e+00
8.000000000000000000e+00,9.067707588667047958e+01,3.650700350291013141e+00,4.026045518774459708e+00
9.000000000000000000e+00,5.084406637228437376e+01,3.242255296867545766e+00,6.376860719847798009e+00
