# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.344453498405905520e+02,3.711179620903445553e+00,2.760362946954822316e+00
1.000000000000000000e+00,1.374389271866162971e+02,3.856664415710379767e+00,2.806093218752903073e+00
2.000000000000000000e+00,1.393213368983012401e+02,3.780901199365769294e+00,2.713799108980463615e+00
3.000000000000000000e+00,1.404595500952383418e+02,4.352225033272729249e+00,3.098561137581397062e+00
4.000000000000000000e+00,1.411389078981779335e+02,4.334348966623634780e+00,3.070980944354884112e+00
5.000000000000000000e+00,1.401474711965021811e+02,4.619922109056682658e+00,3.296471973139667888e+00
6.000000000000000000e+00,1.399662337798374381e+02,4.381539414157581191e+00,3.130426029073274385e+00
7.000000000000000000e+00,1.340860737419426414e+02,4.292655980464767929e+00,3.201418208967967249e+00
8.000000000000000000e+00,1.396727906802926498e+02,5.288089680602004350e+00,3.786055719833294031e+00
9.000000000000000000e+00,1.188174271131629212e+02,6.462660458955043374e+00,5.439151996449090198e+00
