# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.331942457462957066e+02,3.678048279690301570e+00,2.761416800764902924e+00
1.000000000000000000e+00,1.357244589992330077e+02,3.820619411060830917e+00,2.814982236239690572e+00
2.000000000000000000e+00,1.392476808339560250e+02,3.781941692628052909e+00,2.715981817419118816e+00
3.000000000000000000e+00,1.428003162134187107e+02,4.424748583005918334e+00,3.098556572096814676e+00
4.000000000000000000e+00,1.446295144528936589e+02,4.465634564438664356e+00,3.087637112888971913e+00
5.000000000000000000e+00,1.474837210082799004e+02,4.910471627742585277e+00,3.329500770777885421e+00
6.000000000000000000e+00,1.422331858621685683e+02,4.459859186024409894e+00,3.135596772996597004e+00
7.000000000000000000e+00,1.197287525942607544e+02,3.937218634656805882e+00,3.288448722087110365e+00
8.000000000000000000e+00,7.807929165530613602e+01,3.239854194874077109e+00,4.149441069697386908e+00
9.000000000000000000e+00,2.454450578574719266e+00,5.413502567401993204e-01,2.205586298887946128e+01
