# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.330348059407600374e+02,3.671678673718434371e+00,2.759938384360421271e+00
1.000000000000000000e+00,1.343993411861329719e+02,3.785184928728044795e+00,2.816371639415887085e+00
2.000000000000000000e+00,1.358612905137381119e+02,3.690753252466785650e+00,2.716559837250759557e+00
3.000000000000000000e+00,1.366888324843864382e+02,4.255257040525394885e+00,3.113097802639773093e+00
4.000000000000000000e+00,1.379945534286144095e+02,4.240228351733996703e+00,3.072750515423420925e+00
5.000000000000000000e+00,1.378476317562779059e+02,4.547303046141930594e+00,3.298789386662666079e+00
6.000000000000000000e+00,1.396202721092969057e+02,4.369945784340410810e+00,3.129879148867114491e+00
7.000000000000000000e+00,1.346584966815874793e+02,4.307436190556685141e+00,3.198785295176744814e+00
8.000000000000000000e+00,1.445810325284132318e+02,5.899297496819245090e+00,4.080270692256889653e+00
9.000000000000000000e+00,1.169650881086689935e+02,6.333785103020426632e+00,5.415107367025520979e+00
