# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.341668002790787284e+02,3.701432834293905128e+00,2.758829178749586220e+00
1.000000000000000000e+00,1.366914886172457102e+02,3.839432987171231382e+00,2.808831058912638401e+00
2.000000000000000000e+00,1.384815455532081785e+02,3.758580133402439571e+00,2.714137915191230821e+00
3.000000000000000000e+00,1.397163346794627330e+02,4.337728626486164529e+00,3.104668209653354438e+00
4.000000000000000000e+00,1.406443340566012239e+02,4.320568052923962732e+00,3.071981592365593539e+00
5.000000000000000000e+00,1.403020622760593028e+02,4.633000086681938967e+00,3.302161074130197438e+00
6.000000000000000000e+00,1.399739267880542002e+02,4.383428439502892182e+00,3.131603535092784885e+00
7.000000000000000000e+00,1.337069607849155659e+02,4.283211090724068804e+00,3.203431643034764686e+00
8.000000000000000000e+00,1.380388535999182693e+02,5.299228809649221716e+00,3.838940031339378667e+00
9.000000000000000000e+00,1.151339982181929855e+02,6.219422434606355132e+00,5.401899118295006019e+00
