# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.250046631627830891e+02,3.500160416636572513e+00,2.800023877572156650e+00
1.000000000000000000e+00,1.231397453802795781e+02,3.517790708209836747e+00,2.856746777692459993e+00
2.000000000000000000e+00,1.232477309360723723e+02,3.378745901784531824e+00,2.741426455580801225e+00
3.000000000000000000e+00,1.229084508247327250e+02,3.899371954790892048e+00,3.172582461682305954e+00
4.000000000000000000e+00,1.260281285728284502e+02,3.896052761940606679e+00,3.091415230917418988e+00
5.000000000000000000e+00,1.301627244391663680e+02,4.342374047204561549e+00,3.336111829185044009e+00
6.000000000000000000e+00,1.377831148657389804e+02,4.319890566990111758e+00,3.135282992549250469e+00
7.000000000000000000e+00,1.394467408325288034e+02,4.517853399786706525e+00,3.239841514268524847e+00
8.000000000000000000e+00,1.412330335163767359e+02,6.470247630581948073e+00,4.581256572550845618e+00
9.000000000000000000e+00,1.510553117503420708e+02,9.054219859043886487e+00,5.993976480620769820e+00
