# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.338728068680569265e+02,3.692662478305138940e+00,2.758336487218478350e+00
1.000000000000000000e+00,1.359892591926647754e+02,3.822549398851122771e+00,2.810920084089486792e+00
2.000000000000000000e+00,1.375109132437978587e+02,3.732858743577143201e+00,2.714590904475362443e+00
3.000000000000000000e+00,1.384013093887076025e+02,4.303466469125552862e+00,3.109411672572427232e+00
4.000000000000000000e+00,1.392753974788610947e+02,4.279422919307686257e+00,3.072633786564642477e+00
5.000000000000000000e+00,1.389759600215340924e+02,4.591403287526081733e+00,3.303739212749206011e+00
6.000000000000000000e+00,1.397666978528913546e+02,4.376195697355956149e+00,3.131071825108176832e+00
7.000000000000000000e+00,1.351133303534616346e+02,4.324401041240438559e+00,3.200573200236897620e+00
8.000000000000000000e+00,1.427777836722743530e+02,5.583549398270656994e+00,3.910657004654787716e+00
9.000000000000000000e+00,1.213737799625362044e+02,6.627365395868145548e+00,5.460294140887577363e+00
