# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.315600610565983573e+02,3.639167783073812057e+00,2.766164559248880384e+00
1.000000000000000000e+00,1.322409115046496879e+02,3.736224413846866099e+00,2.825316591768575414e+00
2.000000000000000000e+00,1.338100311698838993e+02,3.639604600433835380e+00,2.719978889933168720e+00
3.000000000000000000e+00,1.349346622106534994e+02,4.214724775246505573e+00,3.123530089449277458e+00
4.000000000000000000e+00,1.369007298946904712e+02,4.209848405647189651e+00,3.075110270694374037e+00
5.000000000000000000e+00,1.378535638381011381e+02,4.555443101693934516e+00,3.304552290751051391e+00
6.000000000000000000e+00,1.396021907343434805e+02,4.371046291494157465e+00,3.131072849574442873e+00
7.000000000000000000e+00,1.337227324366669450e+02,4.280130907509799520e+00,3.200750410583280914e+00
8.000000000000000000e+00,1.332206993915998510e+02,5.040419248454409029e+00,3.783510574162493700e+00
9.000000000000000000e+00,1.087265274104437367e+02,5.818531547954778560e+00,5.351528910685948048e+00
