# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.336495922970929087e+02,3.686927269622448655e+00,2.758652088834427030e+00
1.000000000000000000e+00,1.355430763810527424e+02,3.812267292805248342e+00,2.812587256089575050e+00
2.000000000000000000e+00,1.370917621173946657e+02,3.722149146206310100e+00,2.715078636905223330e+00
3.000000000000000000e+00,1.380579091354804291e+02,4.294770816712997430e+00,3.110847356451275747e+00
4.000000000000000000e+00,1.391248804710535865e+02,4.274895729087787366e+00,3.072703972584705845e+00
5.000000000000000000e+00,1.390229568375518738e+02,4.592583963891700982e+00,3.303471648396983262e+00
6.000000000000000000e+00,1.397809521698681010e+02,4.376732390000774409e+00,3.131136483232688672e+00
7.000000000000000000e+00,1.346230792319304044e+02,4.309295002127560004e+00,3.201007603386823774e+00
8.000000000000000000e+00,1.398422687345102418e+02,5.362122606851741580e+00,3.834407618937949014e+00
9.000000000000000000e+00,1.180091199023437554e+02,6.402799875332730650e+00,5.425682252889648005e+00
