# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.219118143909349357e+02,3.428799955346388373e+00,2.812524751991014149e+00
1.000000000000000000e+00,1.174818580998071127e+02,3.376610329839505376e+00,2.874154686054500640e+00
2.000000000000000000e+00,1.148043966301723202e+02,3.175739982617435953e+00,2.766218085573565855e+00
3.000000000000000000e+00,1.123584036455663266e+02,3.604073334130977635e+00,3.207658009720392389e+00
4.000000000000000000e+00,1.166977800666304432e+02,3.617012932174537898e+00,3.099470212808972835e+00
5.000000000000000000e+00,1.240466900712286105e+02,4.194008780975216233e+00,3.380992091418951073e+00
6.000000000000000000e+00,1.304630066900181760e+02,4.207748446402145071e+00,3.225242582673117919e+00
7.000000000000000000e+00,1.221590113876033996e+02,4.581632795025210036e+00,3.750548357409309030e+00
8.000000000000000000e+00,9.508940527960793077e+01,6.235679312161073184e+00,6.557701453516529888e+00
9.000000000000000000e+00,4.543901284865942785e+02,2.840603579436991311e+01,6.251464108381916240e+00
