# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.338224838823638265e+02,3.692470468222878388e+00,2.759230258697582538e+00
1.000000000000000000e+00,1.364163766030745251e+02,3.835543483015236177e+00,2.811644450999728040e+00
2.000000000000000000e+00,1.393491086335418743e+02,3.783632470498275335e+00,2.715218279901892462e+00
3.000000000000000000e+00,1.422055180426710024e+02,4.406577185603060443e+00,3.098738534380077514e+00
4.000000000000000000e+00,1.439997141571726615e+02,4.433893952523762394e+00,3.079099134658184411e+00
5.000000000000000000e+00,1.457816528680704664e+02,4.826268488340286211e+00,3.310614465805216788e+00
6.000000000000000000e+00,1.412968435541341421e+02,4.428928970777035623e+00,3.134485427539086100e+00
7.000000000000000000e+00,1.239829309283765184e+02,4.034312423842872697e+00,3.253925676408994772e+00
8.000000000000000000e+00,9.624155552134415359e+01,3.830603953994394129e+00,3.980197465890765507e+00
9.000000000000000000e+00,6.811376151408219926e+01,3.848308518358808161e+00,5.649825281728404924e+00
