# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.336088074623095281e+02,3.685719562909623992e+00,2.758590270292884394e+00
1.000000000000000000e+00,1.354250601399090215e+02,3.809393680522255465e+00,2.812916366133957347e+00
2.000000000000000000e+00,1.368681034965503045e+02,3.716270447414981692e+00,2.715220239395403468e+00
3.000000000000000000e+00,1.376865325194578702e+02,4.285104639809103055e+00,3.112217703066588292e+00
4.000000000000000000e+00,1.386673035655849731e+02,4.261432850889755208e+00,3.073134575573715388e+00
5.000000000000000000e+00,1.385371710407012813e+02,4.577582640438455641e+00,3.304227021564914768e+00
6.000000000000000000e+00,1.396986873607013138e+02,4.373965340097949905e+00,3.130999598302877107e+00
7.000000000000000000e+00,1.352644685826360273e+02,4.328581244045916598e+00,3.200087420889464074e+00
8.000000000000000000e+00,1.418123447144552074e+02,5.454590532595982921e+00,3.846343943878099747e+00
9.000000000000000000e+00,1.213670546254643909e+02,6.631127528048351039e+00,5.463696510154126607e+00
