# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.340801835968510147e+02,3.698844688640058553e+00,2.758681103660816536e+00
1.000000000000000000e+00,1.364209452523360255e+02,3.832191267812766089e+00,2.809093032396464018e+00
2.000000000000000000e+00,1.380229757076459691e+02,3.746256628124207122e+00,2.714226822684477458e+00
3.000000000000000000e+00,1.388766776572166464e+02,4.311308658814327011e+00,3.104415177223454059e+00
4.000000000000000000e+00,1.396692467198610075e+02,4.289753960537100674e+00,3.071366146293604160e+00
5.000000000000000000e+00,1.388531438006947667e+02,4.578958079003453641e+00,3.297698527860441597e+00
6.000000000000000000e+00,1.397675113527760971e+02,4.374737575244411758e+00,3.130010352836921861e+00
7.000000000000000000e+00,1.349584678477377224e+02,4.317900111297451993e+00,3.199428816996481739e+00
8.000000000000000000e+00,1.435860846710688747e+02,5.668379336863547557e+00,3.947721918770076943e+00
9.000000000000000000e+00,1.217521065320733982e+02,6.654160378427327771e+00,5.465334907100279693e+00
