# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.315583872341422307e+02,3.639103134159994646e+00,2.766150612414598697e+00
1.000000000000000000e+00,1.322285388554564634e+02,3.735394086635025701e+00,2.824953008607554050e+00
2.000000000000000000e+00,1.338066252225181927e+02,3.639510949968860487e+00,2.719978135549278253e+00
3.000000000000000000e+00,1.348886961672160396e+02,4.209238350461738776e+00,3.120527123520948631e+00
4.000000000000000000e+00,1.368494066984863196e+02,4.206878551156096435e+00,3.074093379465581588e+00
5.000000000000000000e+00,1.374006824663399300e+02,4.532899315764157500e+00,3.299036973032951181e+00
6.000000000000000000e+00,1.395539943903006872e+02,4.367994902878368890e+00,3.129967667326012393e+00
7.000000000000000000e+00,1.335984266303237860e+02,4.274183069795196133e+00,3.199276501677793316e+00
8.000000000000000000e+00,1.331601794974308177e+02,5.036748558096549644e+00,3.782473542095013741e+00
9.000000000000000000e+00,1.084891670101985284e+02,5.801658642388165532e+00,5.347684752564078714e+00
