# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.342317114858755644e+02,3.703773245123899827e+00,2.759238636030969971e+00
1.000000000000000000e+00,1.368186261014665490e+02,3.841873951088572436e+00,2.808005065216329754e+00
2.000000000000000000e+00,1.383805954954146387e+02,3.755401988575639116e+00,2.713821237096842420e+00
3.000000000000000000e+00,1.392429120211283475e+02,4.324718132037327578e+00,3.105880270143378308e+00
4.000000000000000000e+00,1.398177986018842489e+02,4.295601213985617228e+00,3.072284971541332510e+00
5.000000000000000000e+00,1.392044132042985325e+02,4.598948080724644782e+00,3.303737270150449934e+00
6.000000000000000000e+00,1.398040277684060015e+02,4.377249151902093516e+00,3.130989301075986830e+00
7.000000000000000000e+00,1.356441134387067962e+02,4.341722860307525522e+00,3.200819224838245880e+00
8.000000000000000000e+00,1.423702400966377297e+02,5.286343581432666028e+00,3.713095923589377900e+00
9.000000000000000000e+00,1.257737959275546871e+02,6.931800653740781470e+00,5.511323406135787195e+00
